angle,ratio,O,Nhat,omega,it_basic,lmin_basic,lmax_basic,it_flat,lmin_flat,lmax_flat,it_exact,lmin_exact,lmax_exact
0.0,1,0,1,1.2183,190,0.00024478682465370327,1.6570994580099105,190,0.00024478682465370327,1.6570994580099105,102,0.0010249550423004888,1.998975044957072
0.0,1,1,4,1.2183,205,0.00029593072217516675,4.0488096866602366,161,0.0002687794546983917,1.2767123434882397,72,0.0031800327224888584,4.000000000000001
0.0,1,2,4,1.2183,249,0.00032596571359126757,4.375676611641894,157,0.00027179121738169653,1.2630518990167687,57,0.005464643337575753,4.000000000000002
0.0,1,3,4,1.2183,264,0.0003568250680160125,4.516762757873907,156,0.00027233631765484056,1.2610139662237285,48,0.007887832329220391,3.9999999999999956
0.0,1,4,4,1.2183,264,0.0003913776510749368,4.641301030092527,155,0.0002724809606670996,1.2609515142078729,42,0.010462592275539905,4.000000000000011
0.0,1,5,4,1.2183,260,0.0004307923177493524,4.698087633009872,154,0.00027255316232489027,1.260947484203287,39,0.013204028566238238,4.000000000000004
0.0,2,0,1,1.2585,185,0.0003507402938006271,1.670473286114469,185,0.0003507402938006271,1.670473286114469,102,0.0013648970970487682,1.9986351028906022
0.0,2,1,4,1.2585,195,0.0004297916229626881,4.04253272295858,153,0.0003897428098043672,1.3284980604828664,72,0.004234788884854505,4.000000000000001
0.0,2,2,4,1.2586,242,0.0004748020544217319,4.374438273143391,151,0.0003952879486139753,1.3095954597823418,57,0.007277516200064591,4.000000000000001
0.0,2,3,4,1.2586,254,0.0005202331151211545,4.5953383296425185,150,0.00039649629798685213,1.3084600831520823,49,0.01050552249167549,3.9999999999999996
0.0,2,4,4,1.2586,259,0.0005706750835556343,4.729612729041051,150,0.000396849429966396,1.3084375617952735,43,0.013936845707079001,3.9999999999999982
0.0,2,5,4,1.2586,254,0.0006280106634323308,4.808764364470323,149,0.00039699874184857955,1.3084109963251749,39,0.01759311096396476,4.000000000000002
0.0,5,0,1,1.3727,167,0.0005766024304775816,1.7224102637638576,167,0.0005766024304775816,1.7224102637638576,108,0.0017037904744573154,1.998296209418917
0.0,5,1,4,1.3731,203,0.0007544191989983527,4.024167111867323,143,0.000678608729350618,1.42601278257218,78,0.005287698814780966,3.9999999999999982
0.0,5,2,4,1.3734,231,0.0008460504864536855,4.343893336869962,140,0.0006988535095499982,1.4098192299756975,62,0.009091094150338708,4.000000000000003
0.0,5,3,4,1.3736,238,0.0009319738442718471,4.696987778518034,139,0.000705076685193765,1.4051186392841892,53,0.01312998387338908,4.000000000000002
0.0,5,4,4,1.3734,238,0.001023886513443922,4.933313077835813,139,0.0007074210949241171,1.4038196174220499,45,0.017429219185998608,4.0
0.0,5,5,4,1.374,234,0.001126487073125458,5.0852480264349715,139,0.0007084227686749467,1.403322778150073,41,0.022021310548804133,3.999999999999999
0.0,10,0,1,1.4658,167,0.0008252357955910928,1.7768083614729808,167,0.0008252357955910928,1.7768083614729808,120,0.0018574565890646427,1.998142538420264
