# deflation comparison: n=24 nd=13824 steps=350 regime=0 nsub=64 (m: Sys1 4 Sys2 4 Sys3 8)
step,t,s1_v0,s1_v1,s1_v2,s1_v3,s1_v4,s1_v5,s2_v0,s2_v1,s2_v2,s2_v3,s2_v4,s2_v5,s3_v0,s3_v1,s3_v2,s3_v3,s3_v4,s3_v5
75,75,16,0,15,0,0,0,173,1,76,1,1,1,159,0,56,0,0,0
76,76,16,0,15,0,0,0,173,1,76,1,1,1,159,0,56,0,0,0
77,77,16,0,15,0,0,0,173,0,76,0,0,0,159,0,56,0,0,0
78,78,16,0,15,0,0,0,173,0,76,0,0,0,159,0,56,0,0,0
79,79,16,0,15,0,0,0,173,0,76,0,0,0,159,0,56,0,0,0
80,80,16,0,15,0,0,0,173,0,76,0,0,0,159,0,56,0,0,0
81,81,16,0,15,0,0,0,173,0,76,0,0,0,159,0,56,0,0,0
82,82,16,0,15,0,0,0,173,0,76,0,0,0,159,0,56,0,0,0
83,83,16,0,15,0,0,0,173,0,76,0,0,0,159,0,56,0,0,0
84,84,16,0,15,0,0,0,173,0,76,0,0,0,159,0,56,0,0,0
85,85,16,0,15,0,0,0,173,0,76,0,0,0,159,0,56,0,0,0
86,86,16,0,15,0,0,0,173,0,76,0,0,0,159,0,56,0,0,0
87,87,16,0,15,0,0,0,173,0,76,0,0,0,159,0,56,0,0,0
88,88,16,0,15,0,0,0,173,0,76,0,0,0,159,0,56,0,0,0
89,89,16,0,15,0,0,0,172,0,76,0,0,0,159,0,56,0,0,0
90,90,16,0,15,0,0,0,172,0,76,0,0,0,158,0,56,0,0,0
91,91,16,0,15,0,0,0,172,1,76,1,1,1,158,0,56,0,0,0
92,92,16,0,15,0,0,0,172,1,76,1,1,1,158,0,56,0,0,0
93,93,16,0,15,0,0,0,172,0,75,0,0,0,158,1,56,1,1,1
94,94,16,0,15,0,0,0,172,0,75,0,0,0,158,1,56,1,1,1
95,95,16,0,15,0,0,0,172,0,75,0,0,0,158,1,56,1,1,1
