ranks,ratio,method,O,iter,lmin,lmax,kappa
2,100,sASM,2,171,6.9365e-04,1.5829e+00,2.2820e+03
2,100,harm,2,164,7.0243e-04,1.5048e+00,2.1423e+03
2,100,harm+coarse,2,172,8.8559e-04,1.9828e+00,2.2389e+03
2,100,mult+coarse,2,233,8.7730e-04,3.3658e+00,3.8365e+03
4,100,sASM,2,182,6.4801e-04,1.6570e+00,2.5571e+03
4,100,harm,2,180,6.6434e-04,1.6569e+00,2.4940e+03
4,100,harm+coarse,2,169,1.1931e-03,1.9827e+00,1.6619e+03
4,100,mult+coarse,2,231,1.1418e-03,3.9430e+00,3.4534e+03
8,100,sASM,2,192,6.1636e-04,2.0050e+00,3.2529e+03
8,100,harm,2,182,6.4725e-04,1.7388e+00,2.6864e+03
8,100,harm+coarse,2,131,3.1649e-03,1.9832e+00,6.2663e+02
8,100,mult+coarse,2,203,2.5011e-03,7.3922e+00,2.9555e+03
16,100,sASM,2,208,5.5767e-04,2.0016e+00,3.5893e+03
16,100,harm,2,191,5.9766e-04,1.6582e+00,2.7745e+03
16,100,harm+coarse,2,106,5.3583e-03,1.9838e+00,3.7023e+02
16,100,mult+coarse,2,181,4.0594e-03,7.2496e+00,1.7859e+03
