method,O,L,extra,iter,min_time_s
BASIC,0,0,-,33,0.054
BASIC,0,1,-,26,0.048
BASIC,0,2,-,24,0.054
BASIC,1,0,-,42,0.075
BASIC,1,1,-,24,0.049
BASIC,1,2,-,19,0.051
BASIC,2,0,-,47,0.081
BASIC,2,1,-,27,0.058
BASIC,2,2,-,20,0.055
sASM,0,0,-,33,0.057
sASM,0,1,-,26,0.050
sASM,0,2,-,24,0.057
sASM,1,0,-,27,0.050
sASM,1,1,-,19,0.041
sASM,1,2,-,16,0.046
sASM,2,0,-,27,0.053
sASM,2,1,-,18,0.041
sASM,2,2,-,15,0.047
sASM,3,0,-,27,0.054
sASM,3,1,-,18,0.043
sASM,3,2,-,14,0.045
sASM+Cheby,1,0,d2,17,0.046
sASM+Cheby,1,0,d3,15,0.054
sASM+Cheby,1,1,d2,14,0.046
sASM+Cheby,1,1,d3,15,0.065
sASM+Cheby,2,0,d2,16,0.047
sASM+Cheby,2,0,d3,13,0.050
sASM+Cheby,2,1,d2,12,0.042
sASM+Cheby,2,1,d3,13,0.064
sASM+Cheby,3,0,d2,16,0.050
sASM+Cheby,3,0,d3,13,0.053
sASM+Cheby,3,1,d2,11,0.042
sASM+Cheby,3,1,d3,11,0.055
RAS+GMRES,1,0,r30,26,0.038
RAS+GMRES,1,0,r60,26,0.039
RAS+GMRES,1,0,r120,26,0.038
RAS+GMRES,1,1,r30,17,0.029
RAS+GMRES,1,1,r60,17,0.027
RAS+GMRES,1,1,r120,17,0.027
RAS+GMRES,1,2,r30,14,0.032
RAS+GMRES,1,2,r60,14,0.032
RAS+GMRES,1,2,r120,14,0.033
RAS+GMRES,2,0,r30,25,0.038
RAS+GMRES,2,0,r60,25,0.038
RAS+GMRES,2,0,r120,25,0.037
RAS+GMRES,2,1,r30,15,0.026
RAS+GMRES,2,1,r60,15,0.026
RAS+GMRES,2,1,r120,15,0.027
RAS+GMRES,2,2,r30,12,0.030
RAS+GMRES,2,2,r60,12,0.029
RAS+GMRES,2,2,r120,12,0.029
RAS+GMRES,3,0,r30,25,0.037
RAS+GMRES,3,0,r60,25,0.038
RAS+GMRES,3,0,r120,25,0.039
RAS+GMRES,3,1,r30,15,0.027
RAS+GMRES,3,1,r60,15,0.024
RAS+GMRES,3,1,r120,15,0.026
RAS+GMRES,3,2,r30,11,0.029
RAS+GMRES,3,2,r60,11,0.028
RAS+GMRES,3,2,r120,11,0.028
