# deflation comparison: n=24 nd=13824 steps=350 regime=2 nsub=64 (m: Sys1 4 Sys2 4 Sys3 8)
step,t,s1_v0,s1_v1,s1_v2,s1_v3,s1_v4,s1_v5,s2_v0,s2_v1,s2_v2,s2_v3,s2_v4,s2_v5,s3_v0,s3_v1,s3_v2,s3_v3,s3_v4,s3_v5
71,71,16,1,17,1,1,1,159,11,76,8,11,8,141,3,59,3,3,3
72,72,16,1,17,1,1,1,159,9,76,7,9,7,144,9,60,8,9,8
73,73,15,1,17,1,1,1,165,15,81,11,15,11,147,13,60,9,14,8
74,74,16,2,17,2,2,2,168,19,84,12,19,12,144,3,57,3,3,3
75,75,16,2,17,2,2,2,163,7,80,6,7,6,144,1,56,1,1,1
76,76,16,1,17,1,1,1,159,6,76,5,6,5,144,2,59,2,2,2
77,77,15,1,17,1,1,1,148,8,74,6,8,6,139,4,60,4,4,4
78,78,16,1,17,1,1,1,167,26,84,13,25,13,144,0,58,0,0,0
79,79,16,1,17,1,1,1,164,21,81,11,21,11,144,1,58,1,1,1
80,80,16,0,17,0,0,0,162,7,80,5,7,5,146,5,60,4,5,4
81,81,15,0,17,0,0,0,161,5,80,5,5,5,148,4,60,4,4,3
82,82,16,2,17,2,2,2,160,7,78,7,7,6,143,0,58,0,0,0
83,83,16,3,17,3,3,3,165,10,81,9,10,9,144,0,58,0,0,0
84,84,16,2,17,2,2,2,162,4,79,4,4,4,146,6,59,6,6,6
85,85,15,0,17,0,0,0,162,4,79,4,4,4,147,6,59,5,6,5
86,86,15,1,17,1,1,1,163,3,80,4,3,4,146,0,57,0,0,0
87,87,16,1,17,1,1,1,164,6,81,6,6,6,144,0,58,0,0,0
88,88,16,2,17,2,2,2,156,4,76,4,4,4,140,3,60,3,3,3
89,89,15,2,17,2,2,2,162,2,78,4,2,4,146,2,60,2,2,2
90,90,16,1,17,1,1,1,163,6,80,5,6,5,145,0,59,0,0,0
91,91,16,1,17,1,1,1,164,4,80,4,4,4,145,1,59,1,1,1
92,92,16,1,17,1,1,1,167,5,83,5,5,5,148,6,60,6,6,6
93,93,16,2,17,2,2,2,162,5,78,5,5,5,145,1,58,1,1,1
94,94,16,0,17,0,0,0,160,8,77,7,8,7,144,0,57,0,0,0
95,95,15,0,17,0,0,0,162,10,79,7,10,7,145,1,58,2,1,2
96,96,15,2,17,2,2,2,165,8,80,7,8,7,150,9,60,6,9,5
97,97,16,2,17,2,2,2,170,14,84,10,14,10,146,1,59,1,1,1
98,98,16,2,17,1,2,1,164,8,80,7,8,7,145,0,58,0,0,0
99,99,16,0,17,0,0,0,150,7,75,5,7,5,140,1,59,1,1,1
100,100,15,2,17,2,2,2,162,31,80,16,30,17,149,10,61,8,10,8
101,101,16,2,17,2,2,2,167,27,82,14,27,14,146,2,59,2,2,2
102,102,16,2,17,2,2,2,169,23,84,12,23,12,144,1,58,1,1,1
103,103,16,1,17,1,1,1,164,6,80,6,6,6,144,3,58,3,3,3
104,104,16,1,17,1,1,1,160,6,76,5,6,5,147,6,60,6,6,6
105,105,16,0,17,0,0,0,161,8,79,7,8,7,144,0,57,0,0,0
106,106,16,0,17,0,0,0,169,14,84,11,14,11,144,0,58,0,0,0
107,107,16,0,17,0,0,0,167,10,82,7,10,7,145,1,59,1,1,1
108,108,15,0,17,0,0,0,164,5,81,4,5,4,148,3,62,3,3,3
109,109,16,2,17,2,2,2,163,6,80,6,6,6,144,1,60,1,1,1
110,110,16,2,17,2,2,2,161,11,78,9,11,9,139,1,59,1,1,1
111,111,16,2,17,2,2,2,165,7,80,6,7,6,146,7,58,5,6,5
112,112,16,1,17,1,1,1,164,4,80,4,4,4,153,13,61,9,14,9
113,113,16,0,17,0,0,0,164,5,80,5,5,5,144,0,58,0,0,0
114,114,16,1,17,1,1,1,167,10,82,7,10,7,144,0,56,0,0,0
115,115,16,0,17,0,0,0,161,7,80,6,7,6,144,1,58,1,1,1
116,116,16,0,17,0,0,0,160,6,77,5,6,5,151,12,61,8,11,8
117,117,16,0,17,0,0,0,163,10,80,7,10,7,145,0,59,0,0,0
118,118,16,1,17,1,1,1,167,12,81,8,12,8,145,2,58,3,2,3
119,119,16,0,17,0,0,0,166,7,82,7,7,7,146,1,59,3,1,3
120,120,16,0,17,0,0,0,160,1,77,1,1,1,146,4,61,4,4,4
121,121,16,1,17,1,1,1,148,8,73,7,8,7,138,2,59,1,2,1
122,122,16,1,17,1,1,1,162,21,79,11,21,11,144,0,58,0,0,0
123,123,16,0,17,0,0,0,168,26,83,13,26,13,145,5,55,5,5,5
124,124,15,0,17,0,0,0,163,15,79,8,15,8,149,7,60,6,7,5
125,125,16,1,17,1,1,1,160,8,77,6,8,6,144,0,59,0,0,0
126,126,16,1,17,1,1,1,156,6,76,6,6,6,141,0,59,0,0,0
127,127,16,1,17,1,1,1,163,13,81,12,13,12,144,4,60,4,4,4
128,128,15,0,17,0,0,0,164,11,81,9,11,9,148,5,61,5,5,5
129,129,16,1,17,1,1,1,161,1,79,1,1,1,145,0,58,0,0,0
130,130,16,2,17,2,2,2,161,10,78,7,10,7,144,0,57,0,0,0
131,131,16,2,17,2,2,2,160,2,77,2,2,2,144,0,57,0,0,0
132,132,16,1,17,1,1,1,160,5,77,5,5,5,143,4,57,4,4,4
133,133,16,0,17,0,0,0,160,10,77,8,10,8,144,0,57,0,0,0
134,134,16,0,17,0,0,0,161,1,78,1,1,1,144,0,57,0,0,0
135,135,16,0,17,0,0,0,162,2,80,2,2,2,146,0,59,0,0,0
136,136,15,0,17,0,0,0,165,4,83,5,4,5,148,3,61,3,3,3
137,137,16,2,17,2,2,2,160,5,77,5,5,5,141,1,59,1,1,1
138,138,16,3,17,2,3,2,159,7,76,6,7,6,143,5,59,4,5,4
139,139,16,2,17,2,2,2,161,11,77,8,11,8,146,4,60,4,4,4
140,140,15,1,17,1,1,1,164,11,80,9,11,9,149,7,60,6,7,6
141,141,16,1,17,1,1,1,167,10,82,9,10,9,144,1,56,1,1,1
142,142,16,2,17,2,2,2,161,5,77,5,5,5,141,1,58,1,1,1
143,143,16,1,17,1,1,1,148,6,74,5,6,5,140,5,59,5,5,5
144,144,15,0,17,0,0,0,162,23,78,11,22,11,146,2,60,3,2,3
145,145,16,2,17,1,2,1,168,27,83,15,27,15,145,0,59,0,0,0
146,146,16,2,17,2,2,2,166,21,81,10,20,10,145,2,59,3,2,3
147,147,16,0,17,0,0,0,163,2,80,3,2,3,146,5,60,4,5,4
148,148,15,2,17,2,2,2,160,12,77,10,12,10,146,1,59,1,1,1
149,149,16,2,17,1,2,1,164,10,81,9,10,9,144,0,58,0,0,0
150,150,16,2,17,2,2,2,167,12,82,10,12,9,144,5,57,5,5,5
151,151,16,2,17,1,2,1,165,7,80,6,7,6,148,10,59,7,10,7
152,152,15,0,17,0,0,0,164,8,80,6,8,6,146,1,58,1,1,1
153,153,16,1,17,1,1,1,165,5,81,6,5,6,144,0,57,0,0,0
154,154,16,2,17,2,2,2,161,14,78,10,14,10,139,1,59,1,1,1
155,155,16,1,17,1,1,1,164,5,81,5,5,5,146,7,60,5,7,4
156,156,15,0,17,0,0,0,165,4,82,4,4,4,146,2,60,2,2,2
157,157,16,2,17,2,2,2,167,3,83,3,3,3,144,0,58,0,0,0
158,158,16,2,17,2,2,2,169,5,84,5,5,5,144,2,58,2,2,2
159,159,16,0,17,0,0,0,160,1,77,1,1,1,145,5,59,4,5,4
160,160,15,2,17,2,2,2,161,10,77,7,10,7,146,1,58,1,1,1
161,161,16,1,17,1,1,1,165,11,81,10,11,10,141,0,57,0,0,0
162,162,16,1,17,1,1,1,169,13,84,10,13,10,144,8,57,6,8,6
163,163,15,1,17,1,1,1,166,10,83,7,10,7,148,6,61,5,6,5
164,164,16,1,17,1,1,1,161,9,80,7,9,7,146,1,59,1,1,1
165,165,16,1,17,1,1,1,156,7,76,6,7,6,140,0,58,0,0,0
166,166,16,1,17,1,1,1,165,17,81,11,16,11,145,2,59,3,2,3
167,167,16,0,17,0,0,0,169,15,83,9,15,9,149,8,61,6,8,6
168,168,15,2,17,1,2,1,165,29,80,16,28,16,146,0,59,0,0,0
169,169,15,2,17,2,2,2,162,9,78,7,9,7,144,0,58,0,0,0
170,170,15,1,17,1,1,1,158,5,76,5,5,5,140,3,58,3,3,3
171,171,16,1,17,1,1,1,164,11,80,9,11,9,150,14,60,10,15,10
172,172,16,1,17,1,1,1,167,14,82,10,14,10,146,0,59,0,0,0
173,173,16,1,17,1,1,1,164,8,80,6,8,6,145,0,59,0,0,0
174,174,15,0,17,0,0,0,162,4,79,3,4,3,146,2,59,3,2,3
175,175,15,3,17,3,3,3,161,17,78,13,17,13,146,3,62,3,3,3
176,176,16,3,17,3,3,3,161,10,78,9,10,9,140,0,59,0,0,0
177,177,16,2,17,1,2,1,164,7,81,6,7,6,145,3,58,3,3,3
178,178,15,1,17,1,1,1,163,4,80,3,4,3,146,3,57,3,3,3
179,179,15,1,17,1,1,1,162,4,79,4,4,4,154,12,60,8,11,8
180,180,16,2,17,2,2,2,162,2,78,2,2,2,144,0,57,0,0,0
181,181,16,2,17,2,2,2,165,12,81,8,12,8,140,0,57,0,0,0
182,182,15,1,17,1,1,1,161,3,78,3,3,3,145,1,58,4,1,4
183,183,15,2,17,2,2,2,161,4,80,4,4,4,151,6,62,6,6,6
184,184,16,2,17,2,2,2,162,3,80,3,3,3,145,0,59,0,0,0
185,185,16,1,17,1,1,1,165,5,82,5,5,5,144,0,58,0,0,0
186,186,16,1,17,1,1,1,165,6,81,5,6,5,145,3,59,3,3,3
187,187,15,3,17,3,3,4,155,18,75,13,18,13,145,4,59,4,4,4
188,188,16,2,17,2,2,2,160,8,77,7,8,7,144,0,58,0,0,0
189,189,16,2,17,2,2,2,164,12,80,10,12,10,140,2,56,3,3,3
190,190,15,1,17,1,1,1,170,18,84,12,18,12,145,8,58,6,8,6
191,191,16,1,17,1,1,1,163,7,80,7,7,7,148,5,59,5,5,5
192,192,16,2,17,2,2,2,156,9,75,7,9,7,141,0,59,0,0,0
193,193,16,2,17,2,2,2,160,10,77,8,10,8,143,1,59,1,1,1
194,194,16,1,17,1,1,1,168,24,83,13,23,13,146,3,60,3,3,3
195,195,16,0,17,0,0,0,166,12,81,9,12,9,150,9,61,7,9,7
196,196,16,0,17,0,0,0,163,1,79,1,1,1,145,0,58,0,0,0
197,197,16,3,17,2,3,2,161,13,77,11,13,11,143,0,56,0,0,0
198,198,16,1,17,1,1,1,159,8,76,7,8,7,139,0,55,0,0,0
199,199,16,0,17,0,0,0,165,11,80,8,11,8,146,8,58,7,8,7
200,200,16,0,17,0,0,0,163,5,79,5,5,5,145,0,57,0,0,0
201,201,16,0,17,0,0,0,164,9,80,6,9,6,145,0,58,0,0,0
202,202,16,0,17,0,0,0,165,7,81,6,7,6,146,1,60,3,1,3
203,203,16,0,17,0,0,0,161,4,80,4,4,4,143,2,60,2,2,2
204,204,16,0,17,0,0,0,160,3,77,3,3,3,143,0,59,0,0,0
205,205,16,0,17,0,0,0,163,9,80,6,9,6,144,0,59,0,0,0
206,206,16,2,17,2,2,2,165,20,81,13,20,13,146,9,60,7,9,7
207,207,15,0,17,0,0,0,168,14,82,11,14,11,146,4,57,4,4,4
208,208,16,2,17,2,2,2,160,4,77,4,4,4,142,1,57,1,1,1
209,209,16,2,17,2,2,2,154,6,74,5,6,5,139,4,59,4,4,3
210,210,16,1,17,1,1,1,162,15,80,10,15,10,146,8,60,6,7,6
211,211,15,0,17,0,0,0,169,28,84,15,28,15,146,1,60,1,1,1
212,212,16,2,17,2,2,2,164,11,81,10,11,9,145,1,58,1,1,1
213,213,16,1,17,1,1,1,160,7,78,5,7,5,144,2,58,2,2,2
214,214,16,2,17,2,2,2,155,11,75,7,11,7,145,5,60,4,5,4
215,215,16,2,17,2,2,2,164,16,80,13,16,13,146,1,59,1,1,1
216,216,16,1,17,1,1,1,165,20,80,12,19,12,144,2,57,3,2,3
217,217,16,0,17,0,0,0,162,7,79,6,7,6,144,3,58,3,3,3
218,218,15,0,17,0,0,0,161,6,78,5,6,5,146,5,59,5,5,5
219,219,15,1,17,1,1,1,161,4,78,4,4,4,146,2,58,2,2,2
220,220,16,2,17,2,2,2,163,7,81,7,7,7,140,0,58,0,0,0
221,221,16,2,17,2,2,2,162,3,79,4,3,4,144,0,59,0,0,0
222,222,16,2,17,1,2,1,162,3,79,3,3,3,147,4,59,4,4,4
223,223,15,0,17,0,0,0,163,2,79,2,2,2,146,1,60,1,1,1
224,224,16,2,17,1,2,1,164,2,80,2,2,2,144,0,58,0,0,0
225,225,16,1,17,1,1,1,161,3,78,3,3,3,140,0,57,0,0,0
226,226,16,3,17,3,3,3,160,4,77,4,4,4,146,8,59,6,7,6
227,227,15,1,17,1,1,1,162,7,78,6,7,6,146,0,59,0,0,0
228,228,15,1,17,1,1,1,164,5,80,5,5,5,144,0,58,0,0,0
229,229,16,1,17,1,1,1,167,11,83,8,12,8,145,2,59,3,2,3
230,230,16,2,17,2,2,2,164,7,80,7,7,7,148,6,62,5,6,5
231,231,16,2,17,2,2,2,156,7,76,6,7,6,141,1,59,1,1,1
232,232,16,0,17,0,0,0,162,10,80,8,10,8,145,1,58,1,1,1
233,233,15,0,17,0,0,0,165,11,82,10,11,10,146,3,59,3,3,3
234,234,15,2,17,2,2,2,169,10,84,10,10,10,150,11,62,8,11,8
235,235,16,0,17,0,0,0,165,4,81,3,4,3,144,0,58,0,0,0
236,236,16,2,17,2,2,2,157,12,76,9,12,9,139,0,57,0,0,0
237,237,15,1,17,1,1,1,161,9,78,8,9,8,145,0,56,0,0,0
238,238,15,2,17,2,2,2,166,18,83,12,18,12,149,14,62,9,15,9
239,239,16,2,17,2,2,2,169,21,84,13,21,13,145,0,59,0,0,0
240,240,16,1,17,1,1,1,166,10,82,7,10,7,144,0,59,0,0,0
241,241,16,0,17,0,0,0,163,6,80,5,6,5,145,3,59,3,3,3
242,242,15,4,17,4,4,5,160,30,78,21,30,21,145,5,62,4,5,4
243,243,16,2,17,2,2,2,169,16,84,12,16,12,145,0,59,0,0,0
244,244,16,2,17,1,2,1,167,11,81,7,11,7,146,3,57,3,3,3
245,245,15,1,17,1,1,1,165,8,80,6,8,6,146,2,57,2,2,2
246,246,15,2,17,2,2,2,165,4,80,5,4,5,152,9,61,8,9,8
247,247,16,2,17,2,2,2,162,14,81,10,14,10,140,0,58,0,0,0
248,248,16,1,17,1,1,1,165,5,81,5,5,5,144,1,58,1,1,1
249,249,16,1,17,1,1,1,165,6,80,5,6,5,146,1,59,1,1,1
250,250,16,1,17,1,1,1,165,3,81,3,3,3,151,11,62,7,11,7
251,251,16,1,17,1,1,1,167,1,83,1,1,1,145,0,59,0,0,0
252,252,16,0,17,0,0,0,164,3,81,3,3,3,144,0,58,0,0,0
253,253,16,2,17,2,2,2,158,9,76,8,9,8,144,2,59,2,2,2
254,254,16,1,17,1,1,1,163,12,80,9,12,9,148,4,60,4,4,4
255,255,16,0,17,0,0,0,165,12,81,10,12,10,144,6,57,5,6,5
256,256,16,0,17,0,0,0,167,10,81,9,10,9,144,2,57,2,2,2
257,257,15,0,17,0,0,0,162,4,79,4,4,4,146,3,59,3,3,3
258,258,16,2,17,2,2,2,155,7,75,6,7,6,145,2,59,2,2,2
259,259,16,2,17,2,2,2,161,12,79,10,12,10,143,1,59,1,1,1
260,260,16,2,17,1,2,1,167,23,84,13,22,13,145,1,59,1,1,1
261,261,15,0,17,0,0,0,164,11,81,9,11,9,147,5,60,5,5,5
262,262,15,1,17,1,1,1,161,5,79,4,5,4,147,4,59,4,4,4
263,263,16,1,17,1,1,1,159,3,76,3,3,3,143,0,57,0,0,0
264,264,16,3,17,3,3,3,156,9,75,8,9,8,138,0,56,0,0,0
265,265,15,2,17,2,2,2,165,19,82,12,19,12,146,1,57,2,1,2
266,266,15,1,17,1,1,1,162,9,80,7,9,7,147,4,58,4,4,4
267,267,16,2,17,2,2,2,161,9,79,7,9,7,145,0,57,0,0,0
268,268,16,2,17,2,2,2,161,3,79,3,3,3,144,0,58,0,0,0
269,269,16,2,17,2,2,2,162,7,81,7,7,7,143,3,60,3,3,3
270,270,16,1,17,1,1,1,161,1,77,2,1,2,145,3,60,3,3,3
271,271,16,0,17,0,0,0,161,1,77,1,1,1,144,1,59,1,1,1
272,272,16,0,17,0,0,0,161,1,77,1,1,1,144,2,59,3,2,3
273,273,16,0,17,0,0,0,163,1,80,3,1,3,146,5,59,5,5,5
274,274,16,0,17,0,0,0,164,6,80,6,6,6,144,2,58,2,2,2
275,275,16,1,17,1,1,1,155,16,74,12,16,12,140,0,58,0,0,0
276,276,16,0,17,0,0,0,160,6,76,6,6,6,144,0,59,0,0,0
277,277,16,1,17,1,1,1,163,16,80,11,16,11,146,4,60,4,4,3
278,278,16,0,17,0,0,0,169,22,84,14,22,14,147,5,60,4,5,4
279,279,16,1,17,1,1,1,163,7,80,7,7,7,144,2,58,2,2,2
280,280,16,0,17,0,0,0,155,7,75,5,7,5,140,2,58,3,3,3
281,281,16,2,17,1,2,1,160,17,77,13,17,13,146,11,60,8,10,8
282,282,15,1,17,1,1,1,166,26,83,14,25,14,146,1,58,1,1,1
283,283,16,2,17,1,2,1,166,20,81,11,20,11,140,3,57,3,3,3
284,284,16,2,17,2,2,2,163,7,79,6,7,6,144,8,57,6,8,6
285,285,16,2,17,2,2,2,160,5,77,5,5,5,147,6,60,6,6,6
286,286,16,1,17,1,1,1,160,13,78,9,13,9,144,1,59,1,1,1
287,287,16,0,17,0,0,0,166,16,83,12,16,12,144,0,59,0,0,0
288,288,16,0,17,0,0,0,164,10,81,7,10,7,145,2,59,3,2,3
289,289,16,0,17,0,0,0,164,7,81,5,7,5,148,6,60,6,6,6
290,290,16,0,17,0,0,0,165,1,82,2,1,2,145,1,59,1,1,1
291,291,16,3,17,3,3,3,162,18,80,14,18,14,138,0,57,0,0,0
292,292,16,1,17,1,1,1,162,4,78,4,4,4,143,0,56,0,0,0
293,293,15,0,17,0,0,0,164,6,80,6,6,6,152,15,60,10,18,10
294,294,15,1,17,1,1,1,167,7,82,6,7,6,145,1,58,1,1,1
295,295,16,2,17,2,2,2,169,8,84,7,8,7,144,0,58,0,0,0
296,296,16,2,17,2,2,2,161,4,80,4,4,4,144,2,59,2,2,2
297,297,15,2,17,2,2,2,159,7,76,6,7,6,147,7,62,6,7,6
298,298,16,2,17,1,2,1,164,13,80,10,13,10,146,1,59,1,1,1
299,299,16,2,17,2,2,2,169,14,83,11,14,11,146,1,58,1,1,1
300,300,16,2,17,1,2,1,166,8,81,7,8,7,146,2,59,2,2,2
301,301,15,0,17,0,0,0,162,5,78,4,5,4,151,7,61,6,7,6
302,302,15,0,17,0,0,0,155,2,74,2,2,2,140,0,58,0,0,0
303,303,16,2,17,2,2,2,164,22,80,13,22,13,144,0,56,0,0,0
304,304,16,2,17,2,2,2,169,21,83,12,20,12,146,0,58,0,0,0
305,305,15,2,17,2,2,2,164,18,80,10,18,10,149,9,62,7,9,7
306,306,15,1,17,1,1,1,163,12,80,8,12,8,146,1,59,1,1,1
307,307,15,1,17,1,1,1,161,5,78,5,5,5,144,0,59,0,0,0
308,308,16,2,17,1,2,1,161,7,80,6,7,6,144,4,59,4,4,4
309,309,15,1,17,1,1,1,166,11,84,8,11,8,150,11,61,8,10,8
310,310,15,4,17,3,4,4,164,25,80,15,25,15,146,0,57,0,0,0
311,311,15,1,17,1,1,1,163,7,80,6,7,6,145,0,57,0,0,0
312,312,15,0,17,0,0,0,162,3,78,3,3,3,145,3,58,3,3,3
313,313,16,1,17,1,1,1,160,10,78,7,9,7,144,5,60,4,4,4
314,314,16,1,17,1,1,1,164,10,81,7,10,7,145,0,58,0,0,0
315,315,15,1,17,1,1,1,163,2,80,3,2,3,146,1,58,1,1,1
316,316,15,2,17,2,2,2,163,2,80,3,2,3,147,2,59,3,2,3
317,317,15,1,17,1,1,1,163,1,80,1,1,1,148,4,61,4,4,4
318,318,16,1,17,1,1,1,166,3,83,4,3,4,144,0,58,0,0,0
319,319,15,3,17,3,3,3,160,9,77,9,9,9,139,0,58,0,0,0
320,320,15,2,17,2,2,2,161,4,78,4,4,4,145,1,59,1,1,1
321,321,15,2,17,2,2,2,162,6,79,6,6,6,146,12,59,9,11,9
322,322,16,2,17,2,2,2,165,12,81,7,12,7,144,1,56,1,1,1
323,323,16,1,17,1,1,1,168,14,84,9,14,9,144,1,58,1,1,1
324,324,16,1,17,1,1,1,156,5,76,5,5,5,141,2,60,2,2,2
325,325,16,1,17,1,1,1,160,7,77,6,7,6,145,6,60,5,6,5
326,326,16,1,17,1,1,1,163,16,80,10,16,10,144,0,59,0,0,0
327,327,16,1,17,1,1,1,169,20,83,12,20,12,145,3,59,5,5,4
328,328,16,0,17,0,0,0,165,7,80,6,7,6,146,4,59,4,4,4
329,329,16,0,17,0,0,0,160,2,76,3,2,3,145,3,59,3,3,3
330,330,16,2,17,2,2,2,156,13,74,11,13,11,139,0,57,0,0,0
331,331,16,1,17,1,1,1,165,19,80,12,19,12,144,0,56,0,0,0
332,332,16,0,17,0,0,0,168,19,82,12,19,12,147,6,59,5,6,5
333,333,16,0,17,0,0,0,164,10,80,8,10,8,148,5,60,5,5,5
334,334,16,1,17,1,1,1,162,8,79,7,8,7,144,0,58,0,0,0
335,335,16,1,17,1,1,1,158,6,76,6,6,6,139,1,58,1,1,1
336,336,16,0,17,0,0,0,167,12,84,10,12,10,146,9,60,7,8,6
337,337,16,0,17,0,0,0,164,6,80,6,6,6,146,2,60,2,2,2
338,338,16,1,17,1,1,1,164,6,80,5,6,5,144,0,59,0,0,0
339,339,16,0,17,0,0,0,164,2,80,2,2,2,144,0,58,0,0,0
340,340,16,0,17,0,0,0,166,4,81,4,4,4,144,3,56,3,3,3
