# deflation comparison: n=24 nd=13824 steps=350 regime=2 nsub=64 (m: Sys1 4 Sys2 4 Sys3 8)
step,t,s1_v0,s1_v1,s1_v2,s1_v3,s1_v4,s1_v5,s2_v0,s2_v1,s2_v2,s2_v3,s2_v4,s2_v5,s3_v0,s3_v1,s3_v2,s3_v3,s3_v4,s3_v5
0,0,16,16,17,17,16,17,107,107,69,69,107,69,114,114,57,57,114,57
1,1,16,16,17,17,16,18,160,159,77,76,154,76,144,140,58,52,120,52
2,2,15,13,17,14,13,15,162,136,80,65,133,65,151,133,61,55,128,55
3,3,16,11,17,12,10,14,165,128,82,59,123,59,146,110,59,33,81,34
4,4,16,2,17,1,2,1,166,13,82,12,13,12,144,9,59,7,9,7
5,5,16,2,17,2,2,2,159,9,76,8,9,8,143,13,60,9,13,9
6,6,15,1,17,1,1,1,159,7,77,6,7,6,146,12,61,9,12,9
7,7,16,1,17,1,1,1,164,14,80,11,13,11,145,6,59,5,5,5
8,8,16,2,17,2,2,2,168,18,83,12,18,12,144,2,57,3,2,3
9,9,16,1,17,1,1,1,165,8,80,7,8,7,146,5,58,4,5,4
10,10,15,0,17,0,0,0,162,7,79,6,7,6,146,3,59,3,3,3
11,11,15,1,17,1,1,1,140,5,74,5,5,5,138,0,58,0,0,0
12,12,16,2,17,2,2,2,165,20,81,11,18,11,144,0,58,0,0,0
13,13,16,2,17,2,2,2,168,18,83,10,18,10,146,3,60,3,3,3
14,14,16,1,17,1,1,1,166,3,81,3,3,3,148,2,60,3,2,3
15,15,16,3,17,3,3,3,165,29,80,15,28,15,146,0,58,0,0,0
16,16,16,1,17,1,1,1,164,7,81,7,7,7,144,0,58,0,0,0
17,17,16,1,17,1,1,1,166,5,83,5,5,5,144,4,59,4,4,4
18,18,15,1,17,1,1,1,165,3,81,3,3,3,146,4,59,3,4,3
19,19,16,1,17,1,1,1,166,4,81,4,4,4,145,0,57,0,0,0
20,20,16,1,17,1,1,1,167,3,81,3,3,3,145,0,56,0,0,0
21,21,16,1,17,1,1,1,170,9,84,7,9,7,146,3,59,3,3,3
22,22,16,0,17,0,0,0,145,4,76,4,4,4,140,2,60,2,2,2
23,23,16,0,17,0,0,0,164,12,81,7,12,7,144,0,59,0,0,0
24,24,16,0,17,0,0,0,166,14,82,9,13,9,145,0,59,0,0,0
25,25,15,0,17,0,0,0,169,6,84,6,6,6,147,5,60,5,5,4
26,26,15,3,17,3,3,3,166,25,83,14,25,14,146,3,59,3,3,3
27,27,16,2,17,2,2,2,161,9,77,6,9,6,143,0,57,0,0,0
28,28,16,1,17,1,1,1,161,5,77,5,5,5,144,4,57,3,3,3
29,29,15,0,17,0,0,0,165,9,81,6,9,6,146,5,59,5,5,5
30,30,15,5,17,4,5,5,169,48,84,29,49,29,146,2,59,2,2,2
31,31,16,1,17,1,1,1,164,7,81,6,7,6,146,0,58,0,0,0
32,32,16,2,17,2,2,2,161,11,80,8,11,8,145,1,58,1,1,1
33,33,16,2,17,2,2,2,142,12,75,8,12,8,141,5,61,5,5,5
34,34,16,1,17,1,1,1,165,24,81,13,24,12,145,6,60,5,6,5
35,35,16,0,17,0,0,0,167,24,81,12,24,12,145,3,58,3,3,3
36,36,15,0,17,0,0,0,164,11,80,7,11,7,145,3,58,3,3,3
37,37,15,2,17,2,2,2,161,4,77,4,4,4,150,8,61,6,8,6
38,38,16,2,17,2,2,3,159,5,75,5,5,5,141,1,58,1,1,1
39,39,16,2,17,2,2,2,165,14,80,9,14,9,143,0,56,0,0,0
40,40,16,1,17,1,1,1,164,5,80,6,5,6,144,0,58,0,0,0
41,41,15,0,17,0,0,0,162,3,78,3,3,3,149,6,62,5,6,5
42,42,16,1,17,1,1,1,162,2,78,2,2,2,145,0,60,0,0,0
43,43,16,3,17,3,3,3,162,10,80,8,10,8,144,0,59,0,0,0
44,44,16,2,17,2,2,2,155,8,77,8,8,8,139,1,59,1,1,1
45,45,15,1,17,1,1,1,161,3,78,5,3,5,152,16,62,12,16,12
46,46,16,1,17,1,1,1,161,5,78,4,5,4,145,2,57,2,2,2
47,47,16,2,17,2,2,2,162,4,79,4,4,4,143,1,56,1,1,1
48,48,16,2,17,2,2,2,167,6,81,6,6,6,145,1,56,3,1,3
49,49,16,1,17,1,1,1,160,5,77,5,5,5,151,9,62,7,9,7
50,50,16,0,17,0,0,0,158,7,76,6,7,6,144,0,58,0,0,0
51,51,16,1,17,1,1,1,161,11,79,8,11,8,144,0,58,0,0,0
52,52,16,0,17,0,0,0,165,11,81,9,11,9,146,2,59,3,2,3
53,53,15,0,17,0,0,0,168,8,83,7,8,7,149,6,62,6,6,6
54,54,16,4,17,4,4,4,161,24,79,19,24,19,144,0,59,0,0,0
55,55,16,2,17,2,2,2,144,8,73,6,8,6,137,0,59,0,0,0
56,56,16,2,17,2,2,2,161,21,77,10,19,10,144,4,58,4,4,4
57,57,15,0,17,0,0,0,169,23,84,12,22,12,155,19,61,12,19,12
58,58,16,1,17,1,1,1,164,13,80,7,13,7,145,0,59,0,0,0
59,59,16,1,17,1,1,1,162,10,80,7,10,7,144,0,59,0,0,0
60,60,16,0,17,0,0,0,159,5,77,5,5,5,143,1,59,1,1,1
61,61,15,2,17,2,2,2,166,21,84,18,21,18,146,7,62,6,7,6
62,62,16,2,17,1,2,1,164,11,80,9,11,9,145,0,59,0,0,0
63,63,16,2,17,2,2,2,164,5,80,5,5,5,145,4,58,4,4,4
64,64,16,1,17,1,1,1,164,1,80,1,1,1,146,3,58,3,3,3
65,65,16,1,17,1,1,1,167,4,82,4,4,4,148,5,60,5,5,5
66,66,16,1,17,1,1,1,153,3,73,3,3,3,137,0,56,0,0,0
67,67,16,0,17,0,0,0,161,1,77,1,1,1,143,0,57,0,0,0
68,68,16,2,17,2,2,2,164,25,80,13,23,13,146,0,58,0,0,0
69,69,16,0,17,0,0,0,168,14,82,10,14,10,149,5,60,4,5,4
70,70,16,1,17,1,1,1,165,17,81,13,17,12,144,1,59,1,1,1
