ranks,ratio,method,O,iter,lmin,lmax,kappa
2,1,sASM,2,56,3.7016e-03,1.2459e+00,3.3657e+02
2,1,harm,2,50,3.7671e-03,1.1964e+00,3.1760e+02
2,1,harm+coarse,2,45,1.2841e-02,1.9883e+00,1.5485e+02
2,1,mult+coarse,2,57,1.1869e-02,1.9883e+00,1.6752e+02
4,1,sASM,2,58,3.5587e-03,1.2445e+00,3.4971e+02
4,1,harm,2,55,3.6788e-03,1.1749e+00,3.1936e+02
4,1,harm+coarse,2,49,1.3407e-02,1.9882e+00,1.4829e+02
4,1,mult+coarse,2,55,1.2327e-02,1.9883e+00,1.6129e+02
