# asm_stride_test  n=24 nd=13824 steps=2500 dt=0.01 ms (T=25 ms) stride=1 (Sys2/Sys3 every 0.01 ms) win=16 wstride=50 (span 8 ms) gcut=1e-08 regime=0 pc=sASM+IC(0) nsub=4 ovl=1 setup=0.001 s
step,t_ms,s1_v0,s1_v1,s1_v2,s1_v3,s1_v4,s2_v0,s2_v1,s2_v2,s2_v3,s2_v4,s3_v0,s3_v1,s3_v2,s3_v3,s3_v4
69,0.6900,7,4,4,5,4,52,47,46,52,47,58,51,39,55,45
70,0.7000,7,4,4,5,4,53,47,1,52,47,58,51,31,55,44
71,0.7100,7,4,3,5,4,53,47,36,52,47,58,51,39,55,45
72,0.7200,7,4,3,5,4,53,48,1,52,47,58,51,33,56,46
73,0.7300,7,4,4,5,4,53,48,0,53,47,58,51,28,56,45
74,0.7400,7,4,3,5,4,54,48,1,53,47,59,51,26,56,45
75,0.7500,7,4,4,5,4,54,48,45,53,47,59,51,36,56,45
76,0.7600,7,4,4,5,4,54,48,1,53,47,59,51,37,56,45
77,0.7700,7,4,4,5,4,55,48,1,53,47,59,51,37,56,45
78,0.7800,7,4,4,5,4,55,48,0,54,47,59,51,37,56,45
79,0.7900,7,4,3,5,4,55,48,0,54,46,59,51,37,56,45
80,0.8000,7,4,3,5,4,55,48,1,54,46,59,51,4,56,44
81,0.8100,7,4,3,5,4,55,48,1,54,46,59,51,36,57,44
82,0.8200,7,4,3,5,4,55,48,1,55,45,59,51,34,57,44
83,0.8300,7,4,3,5,4,55,48,1,55,45,59,51,30,57,44
84,0.8400,7,4,3,5,4,55,47,1,55,44,59,51,4,57,44
85,0.8500,7,4,4,5,4,55,48,46,55,47,59,51,38,57,44
86,0.8600,7,4,4,5,4,55,48,43,55,47,59,51,39,57,45
87,0.8700,7,4,4,5,4,55,48,0,55,47,59,51,30,57,44
88,0.8800,7,4,3,5,4,55,48,0,55,47,59,51,28,57,44
89,0.8900,7,4,3,5,4,56,48,1,55,47,59,51,18,57,44
90,0.9000,7,4,3,5,4,56,48,0,55,47,59,50,34,57,44
91,0.9100,7,4,3,5,4,56,48,40,55,47,59,50,32,57,44
92,0.9200,7,4,3,5,4,56,48,1,55,47,59,50,34,57,44
93,0.9300,7,4,4,5,4,56,48,0,56,47,59,50,34,57,44
94,0.9400,7,4,4,5,4,56,48,0,56,47,59,50,34,57,44
95,0.9500,7,4,4,5,4,56,48,0,56,47,59,50,34,57,44
96,0.9600,7,4,2,5,4,56,48,0,56,47,59,50,33,57,44
97,0.9700,7,4,2,5,4,56,48,0,56,47,59,50,33,57,44
98,0.9800,7,4,2,5,4,56,48,0,56,46,59,50,33,57,43
99,0.9900,7,4,4,5,4,56,48,45,56,47,59,50,33,57,44
100,1.0000,7,4,4,4,4,56,48,0,56,47,59,50,25,57,44
101,1.0100,7,4,4,4,4,56,48,46,47,47,59,51,45,46,46
102,1.0200,7,4,4,4,3,56,48,0,48,0,59,51,38,48,0
103,1.0300,7,4,3,4,3,57,48,45,49,45,59,51,35,49,39
104,1.0400,7,4,4,4,4,57,48,45,50,46,59,51,39,50,42
105,1.0500,7,4,4,4,4,57,49,5,50,47,59,50,33,50,41
106,1.0600,7,4,4,4,4,57,49,0,51,47,59,50,35,51,40
107,1.0700,7,4,3,5,4,57,49,0,51,46,59,50,35,51,40
108,1.0800,7,4,3,5,3,57,49,0,52,45,59,50,34,51,40
109,1.0900,7,4,3,5,3,57,49,0,52,45,59,50,34,52,39
110,1.1000,7,4,3,5,3,57,49,42,53,45,59,50,35,52,39
111,1.1100,7,4,4,5,4,57,49,1,53,47,59,50,37,52,41
112,1.1200,7,4,4,5,4,57,49,37,53,46,59,50,37,52,43
113,1.1300,7,4,4,5,4,57,49,0,54,47,59,51,40,52,45
114,1.1400,7,4,4,5,4,57,49,44,54,47,59,51,36,53,44
115,1.1500,7,4,4,5,4,57,49,46,54,47,59,51,36,53,44
116,1.1600,7,4,4,5,4,57,49,46,55,48,59,51,40,53,44
117,1.1700,7,4,4,5,4,58,49,1,55,48,59,51,33,53,44
118,1.1800,7,4,3,5,4,58,49,1,55,47,59,51,32,53,43
119,1.1900,7,4,3,5,4,58,49,1,55,47,59,51,31,53,42
120,1.2000,7,4,3,5,4,58,49,1,55,47,59,51,31,53,41
121,1.2100,7,4,3,5,4,58,49,44,55,46,59,51,34,53,41
122,1.2200,7,4,4,5,4,58,49,46,56,48,59,51,37,54,44
123,1.2300,7,4,4,5,4,58,49,42,56,48,59,51,37,54,43
124,1.2400,7,4,4,5,4,58,49,0,56,48,59,51,38,54,42
125,1.2500,7,4,4,5,4,58,49,47,56,48,59,51,37,54,42
126,1.2600,7,4,4,5,4,58,49,0,56,48,59,51,34,54,42
127,1.2700,7,4,4,5,4,58,49,0,57,48,59,51,34,54,41
128,1.2800,7,4,4,5,4,58,49,0,57,48,59,51,34,54,41
129,1.2900,7,4,3,5,4,58,49,2,57,48,59,51,33,54,41
130,1.3000,7,4,3,5,4,58,49,2,57,47,59,51,19,54,40
131,1.3100,7,4,3,5,4,58,49,37,57,47,59,51,28,54,40
132,1.3200,7,4,4,5,4,58,49,1,57,48,59,50,23,54,41
133,1.3300,7,4,4,5,4,58,49,0,57,47,59,50,34,54,40
134,1.3400,7,4,4,5,4,58,49,41,57,47,59,50,35,54,40
135,1.3500,7,4,4,5,4,58,49,1,57,47,59,50,35,54,40
136,1.3600,7,4,4,5,4,59,49,46,57,48,59,50,34,55,41
137,1.3700,7,4,4,5,4,59,49,45,57,48,59,50,36,55,41
138,1.3800,7,4,4,5,4,59,49,0,57,48,59,50,36,55,40
139,1.3900,7,4,3,5,4,59,49,0,58,48,59,50,36,55,40
140,1.4000,7,4,3,5,4,59,49,0,58,48,59,50,36,55,40
141,1.4100,7,4,3,5,4,59,49,0,58,48,59,50,35,55,40
142,1.4200,7,4,3,5,4,59,49,38,58,47,59,50,42,55,43
143,1.4300,7,4,4,5,4,59,49,0,58,47,59,51,33,55,44
144,1.4400,7,4,4,5,4,59,49,43,58,47,59,50,36,55,44
145,1.4500,7,4,4,5,4,59,49,46,58,48,59,50,37,55,44
146,1.4600,7,4,4,5,4,59,49,47,58,48,59,50,37,55,43
147,1.4700,7,4,4,5,4,59,49,35,58,48,59,50,39,55,43
148,1.4800,7,4,4,5,4,59,49,0,58,48,59,50,39,55,42
149,1.4900,7,4,4,5,4,59,49,43,58,48,59,50,39,55,42
150,1.5000,7,4,4,4,4,59,49,0,58,48,59,50,31,56,41
151,1.5100,7,4,4,4,4,59,49,45,48,48,59,50,43,45,45
152,1.5200,7,4,4,4,4,59,49,46,50,46,59,50,34,47,38
153,1.5300,7,4,4,4,4,59,49,37,50,47,59,50,37,48,40
154,1.5400,7,4,4,5,4,59,49,44,51,46,59,50,38,49,39
155,1.5500,7,4,4,5,4,59,49,35,52,46,59,50,38,49,38
156,1.5600,7,4,4,5,4,59,49,44,52,47,59,50,37,49,37
157,1.5700,7,4,4,5,4,59,49,42,53,46,59,50,38,50,38
158,1.5800,7,4,4,5,4,59,49,45,54,47,59,50,38,50,39
159,1.5900,7,4,4,5,4,59,49,43,54,47,59,51,41,50,42
160,1.6000,7,4,4,5,4,59,49,47,54,48,59,51,31,51,41
161,1.6100,7,4,4,5,4,59,49,43,55,48,59,50,34,51,40
162,1.6200,7,4,4,5,4,59,49,0,55,48,59,50,34,52,40
163,1.6300,7,4,4,5,4,59,49,0,55,47,59,50,32,52,39
164,1.6400,7,4,3,5,4,59,49,0,55,47,59,50,33,52,39
165,1.6500,7,4,4,5,4,59,49,45,56,47,59,50,33,52,39
166,1.6600,7,4,4,5,4,59,49,43,56,47,59,50,39,52,40
167,1.6700,7,4,4,5,4,59,49,44,56,47,59,50,36,52,40
168,1.6800,7,4,4,5,4,59,49,44,56,48,59,50,30,52,39
169,1.6900,7,4,4,5,4,59,49,46,56,48,59,50,36,52,39
170,1.7000,7,4,4,5,4,59,49,46,57,49,59,50,37,53,39
171,1.7100,7,4,4,5,4,59,49,35,57,49,59,50,38,53,39
172,1.7200,7,4,4,5,4,59,49,18,57,48,59,50,39,53,41
173,1.7300,7,4,4,5,4,59,49,45,57,48,59,50,34,53,40
174,1.7400,7,4,4,5,4,59,49,7,57,48,59,49,35,53,40
175,1.7500,7,4,4,5,4,59,49,46,57,48,59,49,34,53,40
176,1.7600,7,4,4,5,4,59,49,45,58,48,59,49,34,53,40
177,1.7700,7,4,4,5,4,59,49,46,58,48,59,49,35,53,40
178,1.7800,7,4,4,5,4,59,49,33,58,48,59,49,35,53,40
179,1.7900,7,4,4,5,4,59,49,28,58,48,59,49,35,53,40
180,1.8000,7,4,3,5,4,59,49,26,58,48,59,49,29,53,39
181,1.8100,7,4,4,5,4,59,49,42,58,48,59,50,42,53,42
182,1.8200,7,4,4,5,4,59,49,45,58,48,59,50,35,53,43
183,1.8300,7,4,4,5,4,59,49,46,58,48,59,50,37,53,43
184,1.8400,7,4,4,5,4,59,49,37,58,48,59,50,38,53,42
185,1.8500,7,4,4,5,4,59,49,45,58,48,59,50,37,53,41
186,1.8600,7,4,4,5,4,60,49,44,58,48,59,50,35,53,40
187,1.8700,7,4,4,5,4,60,49,45,58,48,59,50,37,53,40
188,1.8800,7,4,4,5,4,60,49,40,58,48,59,50,38,54,40
189,1.8900,7,4,4,5,4,60,49,46,58,49,59,50,38,54,40
190,1.9000,7,4,4,5,4,60,49,44,58,49,59,50,35,54,40
191,1.9100,7,4,4,5,4,60,49,39,58,49,59,50,35,54,40
192,1.9200,7,4,3,5,4,60,49,32,59,49,59,50,36,54,40
193,1.9300,7,4,4,5,4,60,49,43,59,48,59,50,36,54,40
194,1.9400,7,4,4,5,4,60,49,12,59,48,59,50,36,54,40
195,1.9500,7,4,4,5,4,60,49,45,59,48,59,50,37,54,40
196,1.9600,7,4,4,5,4,60,49,45,59,49,59,50,37,54,40
197,1.9700,7,4,4,5,4,60,49,44,59,49,59,50,37,54,39
198,1.9800,7,4,4,5,4,60,49,27,59,49,59,49,35,54,39
199,1.9900,7,4,4,5,4,60,49,44,59,48,59,50,35,54,39
200,2.0000,7,4,4,4,4,60,49,17,59,48,59,49,35,54,39
201,2.0100,7,4,4,4,4,60,49,44,48,48,59,49,45,44,44
202,2.0200,7,4,4,4,4,60,49,44,49,45,59,49,38,46,38
203,2.0300,7,4,4,5,4,60,49,46,50,46,59,49,38,46,38
204,2.0400,7,4,4,5,4,60,49,45,51,47,59,49,36,46,37
205,2.0500,7,4,4,5,4,60,49,46,52,47,59,49,36,47,35
206,2.0600,7,4,4,5,4,60,49,45,53,47,59,49,37,47,38
207,2.0700,7,4,4,5,4,60,49,42,53,47,59,50,40,48,40
208,2.0800,7,4,4,5,4,60,49,45,54,47,59,50,35,49,40
209,2.0900,7,4,4,5,4,60,49,43,54,47,59,50,36,49,39
210,2.1000,7,4,4,5,4,60,49,42,55,47,59,50,36,49,39
211,2.1100,7,4,4,5,4,60,49,46,55,48,59,50,32,50,38
212,2.1200,7,4,4,5,4,60,49,47,55,48,59,49,38,50,39
213,2.1300,7,4,4,5,4,60,49,41,56,48,59,49,41,50,44
214,2.1400,7,4,4,5,4,60,49,47,56,48,59,49,32,50,44
215,2.1500,7,4,4,5,4,60,49,45,56,48,59,49,35,51,41
216,2.1600,7,4,4,5,4,60,49,44,57,48,59,49,34,51,40
217,2.1700,7,4,4,5,4,60,49,44,57,48,59,49,31,51,40
218,2.1800,7,4,4,5,4,60,49,46,57,48,59,49,37,51,40
219,2.1900,7,4,4,5,4,60,49,44,57,48,59,49,38,51,40
220,2.2000,7,4,4,5,4,60,49,43,57,48,59,49,38,52,40
221,2.2100,7,4,4,5,4,60,49,43,57,48,59,49,39,52,39
222,2.2200,7,4,4,5,4,60,49,46,58,48,59,49,37,52,39
223,2.2300,7,4,4,5,4,60,49,39,58,48,59,49,38,52,38
224,2.2400,7,4,4,5,4,60,49,39,58,48,59,49,37,52,39
225,2.2500,7,4,4,5,4,60,49,47,58,48,59,50,39,52,41
226,2.2600,7,4,4,5,4,60,49,45,58,48,59,49,37,52,40
227,2.2700,7,4,4,5,4,60,49,45,58,48,59,49,38,52,40
228,2.2800,7,4,4,5,4,60,49,45,58,48,59,49,37,53,40
229,2.2900,7,4,4,5,4,60,49,45,58,48,59,49,38,53,40
230,2.3000,7,4,4,5,4,60,49,31,58,48,59,49,38,53,39
231,2.3100,7,4,4,5,4,60,49,46,58,48,59,49,38,53,39
232,2.3200,7,4,4,5,4,60,49,45,58,48,59,49,38,53,39
233,2.3300,7,4,4,5,4,60,49,44,58,48,59,49,38,53,39
234,2.3400,7,4,4,5,4,60,49,46,58,49,60,49,39,53,39
235,2.3500,7,4,4,5,4,60,49,45,58,49,60,49,37,53,39
236,2.3600,7,4,4,5,4,61,49,46,59,49,60,49,37,53,38
237,2.3700,7,4,4,6,4,61,49,45,59,49,60,49,37,53,38
238,2.3800,7,4,4,6,4,61,49,39,59,49,60,49,37,53,38
239,2.3900,7,4,4,6,4,61,49,45,59,49,60,49,37,53,38
240,2.4000,7,4,4,6,4,61,49,0,59,48,60,49,37,53,38
241,2.4100,7,4,4,6,4,61,49,45,59,48,60,49,36,53,38
242,2.4200,7,4,4,6,4,61,49,46,59,49,60,49,38,53,39
243,2.4300,7,4,4,6,4,61,49,45,59,49,60,49,35,53,39
244,2.4400,7,4,4,6,4,61,49,43,59,49,60,49,31,53,39
245,2.4500,7,4,4,6,4,61,49,45,59,49,60,49,33,53,39
246,2.4600,7,4,4,6,4,61,49,45,59,48,60,49,35,53,38
247,2.4700,7,4,4,6,4,61,49,6,59,48,60,49,36,53,38
248,2.4800,7,4,4,6,4,61,49,45,59,48,60,49,36,53,38
249,2.4900,7,4,4,6,4,61,49,45,59,48,60,49,37,53,38
250,2.5000,7,4,4,4,4,61,49,40,59,48,60,49,37,53,38
251,2.5100,7,4,4,4,4,61,49,46,48,48,60,49,45,44,44
252,2.5200,7,4,4,5,4,61,49,47,50,46,60,49,39,46,38
253,2.5300,7,4,4,5,4,61,49,45,51,45,60,49,38,46,37
254,2.5400,7,4,4,5,4,61,49,46,52,46,60,49,37,47,36
255,2.5500,7,4,4,5,4,61,49,46,53,47,60,49,38,47,38
256,2.5600,7,4,4,5,4,61,49,46,54,48,60,49,40,47,40
257,2.5700,7,4,4,5,4,61,49,47,54,48,60,49,32,48,39
258,2.5800,7,4,4,5,4,61,49,45,55,48,60,49,35,48,38
259,2.5900,7,4,4,5,4,61,49,44,55,48,60,49,39,49,40
260,2.6000,7,4,4,5,4,61,49,47,55,48,60,48,38,49,40
261,2.6100,7,4,4,5,4,61,49,45,56,48,60,48,37,49,39
262,2.6200,7,4,4,5,4,61,49,42,56,48,60,48,37,49,39
263,2.6300,7,4,4,5,4,61,49,45,57,48,60,48,37,49,39
264,2.6400,7,4,4,5,4,61,49,38,57,48,60,48,37,49,39
265,2.6500,7,4,4,5,4,61,49,45,57,47,60,48,37,49,38
266,2.6600,7,4,4,5,4,61,49,45,57,47,60,48,36,50,38
267,2.6700,7,4,4,5,4,61,49,46,57,48,60,48,39,50,38
268,2.6800,7,4,4,5,4,61,49,45,57,48,60,48,36,50,38
269,2.6900,7,4,4,5,4,61,49,44,58,48,60,48,35,50,37
270,2.7000,7,4,4,5,4,61,49,46,58,48,60,49,38,50,39
271,2.7100,7,4,4,5,4,61,49,45,58,48,60,49,37,50,39
272,2.7200,7,4,4,5,4,61,49,41,58,48,60,49,37,50,39
273,2.7300,7,4,4,5,4,61,49,46,58,48,60,49,35,50,39
274,2.7400,7,4,4,5,4,61,49,45,58,48,60,49,35,51,38
275,2.7500,7,4,4,5,4,61,49,46,58,49,60,49,36,51,38
276,2.7600,7,4,4,5,4,61,49,46,58,49,60,49,36,51,38
277,2.7700,7,4,4,5,4,61,49,45,58,49,60,49,36,51,37
278,2.7800,7,4,4,5,4,61,49,46,58,49,60,49,36,51,36
279,2.7900,7,4,4,6,4,61,49,43,59,49,60,49,38,51,37
280,2.8000,7,4,4,6,4,61,49,45,59,49,60,49,31,51,37
281,2.8100,7,4,4,6,4,61,49,41,59,49,60,48,40,51,40
282,2.8200,7,4,4,6,4,61,49,44,59,49,60,48,30,51,40
283,2.8300,7,4,4,6,4,61,49,45,59,49,60,48,33,51,39
284,2.8400,7,4,4,6,4,61,49,40,59,49,60,48,38,51,40
285,2.8500,7,4,4,6,4,61,49,45,59,48,60,48,34,51,40
286,2.8600,7,4,4,6,4,61,49,45,59,48,60,48,35,52,39
287,2.8700,7,4,4,6,4,61,49,45,59,48,60,48,34,52,39
288,2.8800,7,4,4,6,4,61,49,44,59,48,60,48,36,52,39
289,2.8900,7,4,4,6,4,61,49,46,59,49,60,48,34,52,39
290,2.9000,7,4,4,6,4,61,49,45,59,49,60,48,36,52,38
291,2.9100,7,4,4,6,4,61,49,46,59,49,60,48,37,52,38
292,2.9200,7,4,4,6,4,61,49,45,59,49,60,48,37,52,39
293,2.9300,7,4,4,6,4,61,49,45,59,49,60,48,38,52,40
294,2.9400,7,4,4,6,4,61,49,42,59,49,60,48,36,52,40
295,2.9500,7,4,4,6,4,61,49,45,59,49,60,48,35,53,40
296,2.9600,7,4,4,6,4,61,49,46,60,49,60,48,35,53,39
297,2.9700,7,4,4,6,4,61,49,46,60,49,60,48,34,53,39
298,2.9800,7,4,4,6,4,61,49,43,60,49,60,48,33,53,39
299,2.9900,7,4,4,6,4,61,49,28,60,49,60,48,34,53,39
300,3.0000,7,4,4,4,4,61,49,44,60,48,60,48,36,53,39
301,3.0100,7,4,4,5,4,61,49,45,49,49,60,48,42,41,41
302,3.0200,7,4,4,5,4,61,49,45,50,45,60,48,36,45,37
303,3.0300,7,4,4,5,4,61,49,45,51,46,60,48,28,45,33
304,3.0400,7,4,4,5,4,61,49,46,53,47,60,48,33,46,34
305,3.0500,7,4,4,5,4,61,49,45,53,47,60,48,39,46,39
306,3.0600,7,4,4,5,4,61,49,46,54,47,60,48,35,47,39
307,3.0700,7,4,4,5,4,61,49,43,54,46,60,48,39,47,39
308,3.0800,7,4,4,5,4,61,49,46,55,47,60,47,34,47,39
309,3.0900,7,4,4,5,4,61,49,45,55,47,60,47,36,48,39
310,3.1000,7,4,4,5,4,61,49,46,55,48,60,47,34,48,38
311,3.1100,7,4,4,5,4,61,49,43,56,47,60,47,35,48,38
312,3.1200,7,4,4,5,4,61,49,46,56,48,60,47,35,48,35
313,3.1300,7,4,4,5,4,61,49,45,56,48,60,47,38,49,39
314,3.1400,7,4,4,5,4,61,49,47,56,49,60,47,26,49,38
315,3.1500,7,4,4,5,4,61,49,44,57,48,60,47,31,49,38
316,3.1600,7,4,4,5,4,62,49,45,57,48,60,47,33,49,37
317,3.1700,7,4,4,5,4,62,49,45,57,48,60,47,39,49,39
318,3.1800,7,4,4,5,4,62,49,45,58,48,60,48,34,49,39
319,3.1900,7,4,4,5,4,62,49,45,58,48,60,48,33,49,38
320,3.2000,7,4,4,5,4,62,49,45,58,48,60,48,34,49,38
321,3.2100,7,4,4,5,4,62,49,45,58,48,60,48,40,50,40
322,3.2200,7,4,4,5,4,62,49,45,58,48,60,48,36,50,40
323,3.2300,7,4,4,6,4,62,49,45,58,48,60,48,35,50,40
324,3.2400,7,4,4,6,4,62,49,46,58,48,60,47,38,50,40
325,3.2500,7,4,4,6,4,62,49,46,58,49,60,47,40,50,40
326,3.2600,7,4,4,6,4,62,49,45,58,48,60,47,34,50,40
327,3.2700,7,4,4,6,4,62,49,45,58,48,60,47,35,51,40
328,3.2800,7,4,4,6,4,62,49,46,59,49,60,47,35,51,39
329,3.2900,7,4,4,6,4,62,49,45,59,49,60,47,36,51,39
330,3.3000,7,4,4,6,4,62,49,44,59,49,60,47,36,51,39
331,3.3100,7,4,4,6,4,62,49,45,59,49,60,47,37,51,38
332,3.3200,7,4,4,6,4,62,49,45,59,48,60,47,37,51,38
333,3.3300,7,4,4,6,4,62,49,45,59,48,60,47,38,51,38
334,3.3400,7,4,4,6,4,62,49,46,59,49,60,47,32,51,37
335,3.3500,7,4,4,6,4,62,49,44,59,49,60,47,32,51,37
336,3.3600,7,4,4,6,4,62,49,46,59,49,60,47,34,52,39
337,3.3700,7,5,4,6,4,62,49,45,59,49,60,47,35,52,39
338,3.3800,7,5,4,6,4,62,49,45,59,49,60,47,34,52,39
339,3.3900,7,4,4,6,4,62,49,46,59,49,60,47,34,52,39
340,3.4000,7,4,4,6,4,62,49,43,59,49,60,47,35,52,39
341,3.4100,7,4,4,6,4,62,49,44,59,49,60,47,36,52,38
342,3.4200,7,4,4,6,4,62,49,46,59,49,60,47,35,52,37
343,3.4300,7,5,4,6,4,62,49,46,59,49,60,47,34,52,37
344,3.4400,7,5,4,6,4,62,49,44,60,49,60,47,35,52,38
345,3.4500,7,5,4,6,4,62,49,45,60,49,60,47,37,52,38
346,3.4600,7,5,4,6,4,62,49,43,60,49,60,47,37,52,38
347,3.4700,7,5,4,6,4,62,49,45,60,49,60,47,37,52,38
348,3.4800,7,5,4,6,4,62,49,44,60,48,60,47,33,52,38
349,3.4900,7,5,4,6,4,62,49,46,60,48,60,47,34,52,37
350,3.5000,7,5,4,4,4,62,49,44,60,48,60,47,34,52,37
351,3.5100,7,5,4,5,4,62,49,45,48,48,60,46,40,40,40
352,3.5200,7,5,4,5,4,62,49,46,50,46,60,46,34,42,33
353,3.5300,7,5,4,5,4,62,49,45,51,46,60,46,33,44,32
354,3.5400,7,5,4,5,4,62,49,46,52,46,60,47,37,45,38
355,3.5500,7,5,4,5,4,62,49,46,53,47,60,47,37,46,39
356,3.5600,7,5,4,5,4,62,49,46,54,48,60,47,39,47,40
357,3.5700,7,5,4,5,4,62,49,46,55,48,60,47,34,47,39
358,3.5800,7,5,4,5,4,62,49,46,55,48,60,46,36,48,39
