# window sweep: n=24 nd=13824 steps=350 regime=2 gcut=1e-12
step,t,s1_cold,s1_m4,s1_m8,s1_m12,s1_m16,s1_m24,s1_m32,s1_m48,s1_m64,s2_cold,s2_m4,s2_m8,s2_m12,s2_m16,s2_m24,s2_m32,s2_m48,s2_m64,s3_cold,s3_m4,s3_m8,s3_m12,s3_m16,s3_m24,s3_m32,s3_m48,s3_m64
51,51,16,1,0,0,0,0,0,0,0,161,11,0,0,0,0,0,0,0,144,5,0,0,0,0,0,0,0
52,52,16,0,0,0,0,0,0,0,0,165,11,2,2,1,0,0,0,0,146,4,2,0,0,0,0,0,0
53,53,15,0,0,0,0,0,0,0,0,168,8,4,4,3,1,0,0,0,149,8,6,4,4,4,5,5,5
54,54,16,4,1,0,0,0,0,0,0,161,24,0,0,0,0,0,0,0,144,24,0,0,0,0,0,0,0
55,55,16,2,0,0,0,1,1,1,1,144,8,0,0,0,0,0,0,0,137,8,0,0,0,0,0,0,0
56,56,16,2,0,0,0,0,0,0,0,161,21,5,0,0,0,0,0,0,144,11,4,0,0,0,0,0,0
57,57,15,0,0,0,0,0,0,0,0,169,23,9,8,7,6,0,0,0,155,29,19,16,17,17,16,16,16
58,58,16,1,0,0,0,0,0,0,0,164,13,0,0,0,0,0,0,0,145,7,0,0,0,0,0,0,0
59,59,16,1,0,0,0,0,0,0,0,162,10,0,0,0,0,0,0,0,144,9,0,0,0,0,0,0,0
60,60,16,0,0,0,0,0,0,0,0,159,5,0,0,0,0,0,0,0,143,5,1,0,0,0,0,0,0
61,61,15,2,0,0,0,0,0,0,0,166,21,14,6,6,3,3,0,0,146,22,7,2,2,0,0,0,0
62,62,16,2,0,0,0,0,0,0,0,164,11,1,0,0,0,0,0,0,145,6,0,0,0,0,0,0,0
63,63,16,2,0,0,0,0,0,0,0,164,5,4,0,0,0,0,0,0,145,4,4,0,0,0,0,0,0
64,64,16,1,1,0,0,0,0,0,0,164,1,1,1,0,0,0,0,0,146,1,3,1,0,0,0,0,0
65,65,16,1,0,1,0,0,0,0,0,167,4,3,2,1,0,0,0,0,148,6,5,5,0,0,0,0,0
66,66,16,1,1,1,1,0,0,0,0,153,3,0,0,0,0,0,0,0,137,1,0,0,0,0,0,0,0
