# window sweep: n=24 nd=13824 steps=350 regime=2 gcut=1e-12
step,t,s1_cold,s1_m4,s1_m8,s1_m12,s1_m16,s1_m24,s1_m32,s1_m48,s1_m64,s2_cold,s2_m4,s2_m8,s2_m12,s2_m16,s2_m24,s2_m32,s2_m48,s2_m64,s3_cold,s3_m4,s3_m8,s3_m12,s3_m16,s3_m24,s3_m32,s3_m48,s3_m64
220,220,16,2,0,0,0,0,0,0,0,163,7,5,6,6,5,5,0,0,140,4,0,0,0,0,0,0,0
221,221,16,2,0,0,0,0,0,0,0,162,3,1,0,0,0,0,0,0,144,10,0,0,0,0,0,0,0
222,222,16,2,0,0,0,0,0,0,0,162,3,3,1,1,0,0,0,0,147,14,4,3,3,3,3,0,0
223,223,15,0,0,0,0,0,0,0,0,163,2,1,1,1,0,0,0,0,146,10,1,0,0,0,0,0,0
224,224,16,2,1,0,0,0,0,0,0,164,2,2,1,2,1,1,0,0,144,4,0,0,0,0,0,0,0
225,225,16,1,1,0,0,0,0,0,0,161,3,3,1,0,0,0,0,0,140,3,0,0,0,0,0,0,0
226,226,16,3,0,0,0,0,0,0,0,160,4,0,0,0,0,0,0,0,146,18,8,1,1,0,0,0,0
227,227,15,1,0,0,0,0,0,0,0,162,7,0,0,0,0,0,0,0,146,14,0,0,0,0,0,0,0
228,228,15,1,0,0,0,0,0,0,0,164,5,3,0,0,0,0,0,0,144,8,0,0,0,0,0,0,0
229,229,16,1,1,0,0,0,0,0,0,167,11,4,4,4,5,0,0,0,145,8,2,0,0,0,0,0,0
230,230,16,2,1,0,0,0,0,0,0,164,7,3,1,0,0,0,0,0,148,12,6,9,6,4,4,3,2
231,231,16,2,0,0,0,0,0,0,0,156,7,1,0,0,0,0,0,0,141,6,1,0,0,0,0,0,0
232,232,16,0,0,0,0,0,0,0,0,162,10,1,0,0,0,0,0,0,145,9,1,0,0,0,0,0,0
233,233,15,0,0,0,0,0,0,0,0,165,11,2,1,1,0,0,0,0,146,10,3,1,1,0,0,0,0
234,234,15,2,1,1,1,0,0,0,0,169,10,7,6,6,5,0,0,0,150,14,11,11,9,9,9,9,9
235,235,16,0,1,0,0,0,0,0,0,165,4,0,0,0,0,0,0,0,144,2,0,0,0,0,0,0,0
236,236,16,2,0,0,0,0,0,0,0,157,12,0,0,0,0,0,0,0,139,10,0,0,0,0,0,0,0
237,237,15,1,0,0,0,0,0,0,0,161,9,0,0,0,0,0,0,0,145,10,0,0,0,0,0,0,0
238,238,15,2,1,0,0,0,0,0,0,166,18,9,0,0,0,0,0,0,149,21,14,10,9,9,9,9,9
239,239,16,2,0,0,0,0,0,0,0,169,21,5,1,0,0,0,0,0,145,12,0,0,0,0,0,0,0
240,240,16,1,0,0,0,0,0,0,0,166,10,1,0,0,0,0,0,0,144,9,0,0,0,0,0,0,0
241,241,16,0,0,0,0,0,0,0,0,163,6,2,1,0,0,0,0,0,145,3,3,1,0,0,0,0,0
242,242,15,4,0,0,0,0,0,0,0,160,30,4,4,0,0,0,0,0,145,51,5,4,1,0,0,0,0
243,243,16,2,0,0,0,0,0,0,0,169,16,5,3,4,5,5,0,0,145,5,0,0,0,0,0,0,0
244,244,16,2,1,0,0,0,0,0,0,167,11,8,0,0,0,0,0,0,146,3,3,0,0,0,0,0,0
245,245,15,1,0,0,0,0,0,0,0,165,8,1,0,0,0,0,0,0,146,3,2,0,0,0,0,0,0
246,246,15,2,1,1,0,0,0,0,0,165,4,1,1,0,0,0,0,0,152,15,9,6,8,8,8,7,7
247,247,16,2,0,0,0,0,0,0,0,162,14,2,5,4,1,0,0,0,140,1,0,0,0,0,0,0,0
248,248,16,1,0,0,0,0,0,0,0,165,5,1,0,0,0,0,0,0,144,8,1,0,0,0,0,0,0
249,249,16,1,0,0,0,0,0,0,0,165,6,1,0,0,0,0,0,0,146,13,1,0,0,0,0,0,0
250,250,16,1,0,0,0,0,0,0,0,165,3,1,1,1,0,0,0,0,151,18,11,9,9,8,9,8,8
251,251,16,1,0,0,0,0,0,0,0,167,1,1,1,3,1,0,0,0,145,7,0,0,0,0,0,0,0
252,252,16,0,0,0,0,0,0,0,0,164,3,2,0,0,0,0,0,0,144,5,0,0,0,0,0,0,0
253,253,16,2,0,0,0,0,0,0,0,158,9,0,0,0,0,0,0,0,144,19,2,0,0,0,0,0,0
254,254,16,1,0,0,0,0,0,0,0,163,12,0,0,0,0,0,0,0,148,16,4,1,1,1,2,0,0
255,255,16,0,0,0,0,0,0,0,0,165,12,6,0,0,0,0,0,0,144,7,6,0,0,0,0,0,0
256,256,16,0,0,0,0,0,0,0,0,167,10,6,2,0,0,0,0,0,144,4,2,1,0,0,0,0,0
257,257,15,0,0,0,0,0,0,0,0,162,4,0,0,0,0,0,0,0,146,8,3,2,2,0,0,0,0
258,258,16,2,1,1,0,0,0,0,0,155,7,0,0,0,0,0,0,0,145,11,2,2,2,2,1,1,1
259,259,16,2,0,0,0,0,0,0,0,161,12,1,0,0,0,0,0,0,143,4,1,0,0,0,0,0,0
260,260,16,2,0,0,0,0,0,0,0,167,23,7,6,1,0,0,0,0,145,6,1,0,0,0,0,0,0
261,261,15,0,0,0,0,0,0,0,0,164,11,2,1,0,0,0,0,0,147,9,5,3,1,0,0,0,0
262,262,15,1,1,1,1,0,0,0,0,161,5,0,0,0,0,0,0,0,147,7,4,3,4,2,2,1,0
263,263,16,1,1,1,1,0,0,0,0,159,3,0,0,0,0,0,0,0,143,1,0,0,0,0,0,0,0
264,264,16,3,1,0,0,0,0,0,0,156,9,0,0,0,0,0,0,0,138,7,0,0,0,0,0,0,0
265,265,15,2,0,0,0,0,0,0,0,165,19,5,0,0,0,0,0,0,146,15,1,0,0,0,0,0,0
266,266,15,1,0,0,0,0,0,0,0,162,9,1,0,0,0,0,0,0,147,15,4,1,1,0,0,0,0
267,267,16,2,0,0,0,0,0,0,0,161,9,0,0,0,0,0,0,0,145,10,0,0,0,0,0,0,0
268,268,16,2,0,0,0,0,0,0,0,161,3,0,0,0,0,0,0,0,144,7,0,0,0,0,0,0,0
269,269,16,2,1,0,0,0,0,0,0,162,7,3,3,4,4,0,0,0,143,7,3,0,0,0,0,0,0
270,270,16,1,0,0,0,0,0,0,0,161,1,1,1,0,0,0,0,0,145,7,3,1,1,0,0,0,0
271,271,16,0,0,0,0,0,0,0,0,161,1,1,0,0,0,0,0,0,144,4,1,0,0,0,0,0,0
272,272,16,0,0,0,0,0,0,0,0,161,1,1,1,0,0,0,0,0,144,4,2,0,0,0,0,0,0
273,273,16,0,1,0,0,0,0,0,0,163,1,1,2,4,0,0,0,0,146,3,5,4,3,0,0,0,0
274,274,16,0,1,0,0,0,0,0,0,164,6,5,1,0,0,0,0,0,144,5,2,1,0,0,0,0,0
275,275,16,1,0,0,0,0,0,0,0,155,16,0,0,0,0,0,0,0,140,15,0,0,0,0,0,0,0
276,276,16,0,0,0,0,0,0,0,0,160,6,0,0,0,0,0,0,0,144,8,0,0,0,0,0,0,0
277,277,16,1,0,0,0,0,0,0,0,163,16,3,0,0,0,0,0,0,146,17,4,2,2,2,0,0,0
278,278,16,0,0,0,0,0,0,0,0,169,22,8,7,7,5,0,0,0,147,15,5,3,2,0,0,0,0
279,279,16,1,0,0,0,0,0,0,0,163,7,5,0,0,0,0,0,0,144,6,2,0,0,0,0,0,0
280,280,16,0,0,0,0,0,0,0,0,155,7,1,1,0,0,0,0,0,140,5,2,2,0,0,0,0,0
281,281,16,2,0,0,0,0,0,0,0,160,17,4,5,0,0,0,0,0,146,21,11,11,2,0,0,0,0
282,282,15,1,0,0,0,0,0,0,0,166,26,4,1,1,0,0,0,0,146,15,1,1,1,0,0,0,0
283,283,16,2,1,0,0,0,0,0,0,166,20,7,0,0,0,0,0,0,140,9,3,0,0,0,0,0,0
284,284,16,2,0,0,0,0,0,0,0,163,7,1,0,0,0,0,0,0,144,12,8,0,0,0,0,0,0
285,285,16,2,1,0,0,0,0,0,0,160,5,1,0,0,0,0,0,0,147,20,6,5,7,7,2,2,2
286,286,16,1,0,0,0,0,0,0,0,160,13,4,4,3,0,0,0,0,144,13,1,0,0,0,0,0,0
287,287,16,0,0,0,0,0,0,0,0,166,16,1,1,1,0,0,0,0,144,5,0,0,0,0,0,0,0
288,288,16,0,0,0,0,0,0,0,0,164,10,1,0,0,0,0,0,0,145,6,2,0,0,0,0,0,0
289,289,16,0,0,0,0,0,0,0,0,164,7,1,1,1,0,0,0,0,148,8,6,5,5,5,5,0,0
290,290,16,0,0,0,0,0,0,0,0,165,1,2,2,5,4,4,0,0,145,3,1,0,0,0,0,0,0
291,291,16,3,0,0,0,0,0,0,0,162,18,3,1,2,3,3,0,0,138,22,0,0,0,0,0,0,0
292,292,16,1,0,0,0,0,0,0,0,162,4,0,0,0,0,0,0,0,143,11,0,0,0,0,0,0,0
293,293,15,0,0,0,0,0,0,0,0,164,6,5,0,0,0,0,0,0,152,20,15,8,8,8,8,7,7
294,294,15,1,1,0,0,0,0,0,0,167,7,1,0,0,0,0,0,0,145,11,1,0,0,0,0,0,0
295,295,16,2,0,0,0,0,0,0,0,169,8,3,4,1,5,5,5,0,144,9,0,0,0,0,0,0,0
296,296,16,2,0,0,0,0,0,0,0,161,4,1,0,0,0,0,0,0,144,6,2,0,0,0,0,0,0
297,297,15,2,1,0,0,0,0,0,0,159,7,0,0,0,0,0,0,0,147,12,7,5,4,3,3,3,4
298,298,16,2,0,0,0,0,0,0,0,164,13,2,0,0,0,0,0,0,146,5,1,1,0,0,0,0,0
299,299,16,2,0,0,0,0,0,0,0,169,14,6,1,1,0,5,5,0,146,3,1,0,0,0,0,0,0
300,300,16,2,1,0,0,0,0,0,0,166,8,1,1,1,0,0,0,0,146,1,2,1,1,0,0,0,0
301,301,15,0,0,0,0,0,0,0,0,162,5,0,0,0,0,0,0,0,151,7,7,9,9,7,7,6,6
302,302,15,0,0,0,0,0,0,0,0,155,2,0,0,0,0,0,0,0,140,0,0,0,0,0,0,0,0
303,303,16,2,0,0,0,0,0,0,0,164,22,0,0,0,0,0,0,0,144,13,0,0,0,0,0,0,0
304,304,16,2,0,0,0,0,0,0,0,169,21,1,0,0,0,0,5,0,146,11,0,0,0,0,0,0,0
305,305,15,2,0,0,0,0,0,0,0,164,18,1,0,0,0,0,0,0,149,20,9,6,6,6,6,6,6
306,306,15,1,0,0,0,0,0,0,0,163,12,0,0,0,0,0,0,0,146,11,1,0,0,0,0,0,0
307,307,15,1,1,0,0,0,0,0,0,161,5,2,0,0,0,0,0,0,144,7,0,0,0,0,0,0,0
308,308,16,2,1,0,0,0,0,0,0,161,7,6,3,0,0,0,0,0,144,6,4,2,0,0,0,0,0
309,309,15,1,1,1,0,0,0,0,0,166,11,8,9,0,0,0,0,0,150,13,11,11,6,7,7,6,6
310,310,15,4,0,0,0,0,0,0,0,164,25,0,0,0,0,0,0,0,146,20,0,0,0,0,0,0,0
311,311,15,1,0,0,0,0,0,0,0,163,7,0,0,0,0,0,0,0,145,7,0,0,0,0,0,0,0
312,312,15,0,1,0,0,0,0,0,0,162,3,3,0,0,0,0,0,0,145,6,3,0,0,0,0,0,0
313,313,16,1,1,1,0,0,0,0,0,160,10,5,1,0,0,0,0,0,144,13,5,1,1,0,0,0,0
314,314,16,1,0,0,0,0,0,0,0,164,10,1,1,0,0,0,0,0,145,5,0,0,0,0,0,0,0
315,315,15,1,0,0,0,0,0,0,0,163,2,1,0,0,0,0,0,0,146,4,1,0,0,0,0,0,0
316,316,15,2,1,1,0,0,0,0,0,163,2,1,0,0,0,0,0,0,147,5,2,2,0,0,0,0,0
317,317,15,1,1,1,0,0,0,0,0,163,1,1,1,1,0,0,0,0,148,4,4,4,3,5,2,2,2
318,318,16,1,1,1,1,0,0,0,0,166,3,5,2,2,1,0,0,0,144,1,0,0,0,0,0,0,0
319,319,15,3,0,0,0,0,0,0,0,160,9,0,0,0,0,0,0,0,139,16,0,0,0,0,0,0,0
320,320,15,2,0,0,0,0,0,0,0,161,4,0,0,0,0,0,0,0,145,15,1,0,0,0,0,0,0
321,321,15,2,1,0,0,0,0,0,0,162,6,3,0,0,0,0,0,0,146,17,12,4,2,0,2,0,0
322,322,16,2,1,0,0,0,0,0,0,165,12,4,1,0,0,0,0,0,144,11,1,0,0,0,0,0,0
323,323,16,1,0,0,0,0,0,0,0,168,14,6,5,3,0,0,0,0,144,8,1,1,0,0,0,0,0
324,324,16,1,0,0,0,0,0,0,0,156,5,0,0,0,0,0,0,0,141,9,2,2,2,1,0,0,0
325,325,16,1,0,0,0,0,0,0,0,160,7,0,0,0,0,0,0,0,145,11,6,0,0,0,0,0,0
326,326,16,1,0,0,0,0,0,0,0,163,16,1,0,0,0,0,0,0,144,9,0,0,0,0,0,0,0
327,327,16,1,1,1,1,0,0,0,0,169,20,9,6,6,0,0,0,0,145,7,3,1,1,0,0,0,0
328,328,16,0,0,1,1,1,0,0,0,165,7,1,1,0,0,0,0,0,146,5,4,6,6,0,0,0,0
329,329,16,0,0,1,1,1,1,0,0,160,2,0,0,0,0,0,0,0,145,3,3,2,2,2,1,0,1
330,330,16,2,0,0,0,1,1,1,0,156,13,0,0,0,0,0,0,0,139,10,0,0,0,0,0,0,0
331,331,16,1,0,0,0,0,0,0,0,165,19,0,0,0,0,0,0,0,144,10,0,0,0,0,0,0,0
332,332,16,0,0,0,0,0,0,0,0,168,19,10,0,0,0,0,0,0,147,13,6,0,0,0,0,0,0
333,333,16,0,0,0,0,0,0,0,0,164,10,0,0,0,0,0,0,0,148,14,5,4,2,2,2,0,0
334,334,16,1,0,0,0,0,0,0,0,162,8,0,0,0,0,0,0,0,144,7,0,0,0,0,0,0,0
335,335,16,1,0,0,0,0,0,0,0,158,6,2,0,0,0,0,0,0,139,7,1,0,0,0,0,0,0
336,336,16,0,0,0,0,0,0,0,0,167,12,8,4,1,1,1,0,0,146,12,9,3,1,0,0,0,0
337,337,16,0,0,0,0,0,0,0,0,164,6,1,0,0,0,0,0,0,146,13,2,1,1,0,0,0,0
338,338,16,1,0,0,0,0,0,0,0,164,6,0,0,0,0,0,0,0,144,8,0,0,0,0,0,0,0
339,339,16,0,0,0,0,0,0,0,0,164,2,1,1,1,0,0,0,0,144,6,0,0,0,0,0,0,0
340,340,16,0,0,0,0,0,0,0,0,166,4,4,4,5,0,0,0,0,144,6,3,2,0,0,0,0,0
341,341,16,0,0,0,0,0,0,0,0,159,1,0,0,0,0,0,0,0,143,4,0,0,0,0,0,0,0
342,342,16,0,0,0,0,0,0,0,0,162,4,0,0,0,0,0,0,0,144,3,0,0,0,0,0,0,0
343,343,16,0,0,0,0,0,0,0,0,164,7,0,0,0,0,0,0,0,145,4,1,0,0,0,0,0,0
344,344,15,0,0,0,0,0,0,0,0,169,6,4,5,5,6,6,6,0,148,6,5,5,6,5,4,4,4
345,345,16,2,1,0,0,0,0,0,0,162,8,0,0,0,0,0,0,0,145,8,2,1,0,0,0,0,0
346,346,16,2,0,0,0,0,0,0,0,153,9,0,0,0,0,0,0,0,138,7,0,0,0,0,0,0,0
347,347,16,2,1,0,0,0,0,0,0,161,12,8,0,0,0,0,0,0,144,9,8,0,0,0,0,0,0
348,348,16,0,0,0,0,0,0,0,0,167,14,8,2,0,0,0,0,0,149,16,11,10,6,7,7,6,6
349,349,16,0,0,0,0,0,0,0,0,164,29,1,0,0,0,0,0,0,145,18,0,0,0,0,0,0,0
#
# ===== window sweep summary (regime 2) =====
# Sys1 cold 5514
#   m=4        455     91.7%  0-iter 98
#   m=8        143     97.4%  0-iter 261
#   m=12        85     98.5%  0-iter 319
#   m=16        75     98.6%  0-iter 329
#   m=24        68     98.8%  0-iter 336
#   m=32        66     98.8%  0-iter 338
#   m=48        65     98.8%  0-iter 339
#   m=64        64     98.8%  0-iter 340
# Sys2 cold 56890
#   m=4       3873     93.2%  0-iter 0
#   m=8       1379     97.6%  0-iter 100
#   m=12       905     98.4%  0-iter 204
#   m=16       804     98.6%  0-iter 259
#   m=24       695     98.8%  0-iter 303
#   m=32       649     98.9%  0-iter 321
#   m=48       624     98.9%  0-iter 331
#   m=64       587     99.0%  0-iter 338
# Sys3 cold 50660
#   m=4       3754     92.6%  0-iter 2
#   m=8       1469     97.1%  0-iter 114
#   m=12      1050     97.9%  0-iter 207
#   m=16       913     98.2%  0-iter 240
#   m=24       854     98.3%  0-iter 273
#   m=32       829     98.4%  0-iter 278
#   m=48       775     98.5%  0-iter 291
#   m=64       766     98.5%  0-iter 296
