# n=24 nd=13824 beats=1 window=16 regime=2 sweeps=3
step,t,nb,cold,warm,f_old,f_rel,f_res,f_div,vmfit,aopt,phys,warmdelta,warmdelta12,enrich,sw_div,sw_big,eta,eA_vmfit,eA_aopt,eA_old,eA_rel,span_old,span_rel,m_old,m_rel,orth_old,orth_rel
11,11,3.919533e+01,140,162,0,32,32,32,0,0,140,169,153,0,0,0,5.2570e-15,5.090505e-07,5.089116e-07,4.735043e-07,6.914951e-05,2.4520e-09,2.1507e-06,11,4,4.77e-09,6.67e-15
12,12,2.127127e+01,165,165,0,43,43,43,0,0,153,178,163,0,0,0,4.2499e-15,2.302760e-07,2.300205e-07,2.871788e-07,1.314990e-04,3.2191e-09,6.2275e-07,12,4,4.77e-09,6.67e-15
13,13,2.465986e+01,168,164,1,47,47,47,1,1,155,174,155,1,1,1,8.9831e-15,3.490356e-07,3.478785e-07,2.105072e-07,3.315482e-04,4.0592e-09,1.4477e-06,13,4,4.77e-09,6.67e-15
14,14,3.826097e+01,166,155,0,47,47,47,0,0,155,151,150,0,0,0,1.0386e-14,3.890674e-07,3.880064e-07,4.107095e-07,4.535644e-04,5.2824e-09,5.3548e-06,14,4,7.12e-09,6.67e-15
15,15,3.728623e+01,165,158,0,47,47,47,0,0,153,167,163,0,0,0,3.2963e-15,3.126215e-07,3.125659e-07,4.386726e-07,4.405009e-04,4.9853e-09,5.6482e-06,15,4,7.12e-09,6.67e-15
16,16,2.083673e+01,164,164,0,47,47,47,0,0,155,177,169,0,0,0,8.2372e-15,2.152608e-07,2.153802e-07,2.449101e-07,2.855548e-04,4.5123e-09,4.4165e-06,16,4,7.12e-09,6.67e-15
17,17,1.144886e+01,166,170,106,40,40,40,0,0,160,181,174,0,0,0,3.8590e-15,1.216027e-07,1.214590e-07,2.058676e+01,4.025695e-05,4.5200e-02,3.5998e-06,16,4,1.71e-08,6.67e-15
18,18,2.998649e+01,165,164,158,44,44,44,0,0,154,171,156,0,0,0,4.9371e-15,2.446203e-07,2.445319e-07,2.457729e+01,2.044876e-04,7.4562e-01,1.0625e-06,16,4,1.71e-08,6.67e-15
19,19,3.728800e+01,166,160,164,45,45,45,0,0,161,158,164,0,0,0,1.3488e-14,2.911664e-07,2.918045e-07,6.022418e+01,3.566293e-04,6.9467e-01,3.0765e-06,16,4,1.71e-08,6.67e-15
20,20,2.788160e+01,167,155,166,47,47,47,0,0,162,167,161,0,0,0,2.3388e-15,3.320065e-07,3.317318e-07,4.459125e+01,3.640361e-04,4.5376e-01,3.6544e-06,16,4,1.71e-08,6.67e-15
21,21,1.110042e+01,170,169,53,50,50,50,4,4,164,180,173,4,4,4,5.3144e-15,2.192070e-07,2.190518e-07,2.258625e-04,2.374267e-04,4.2539e-06,4.4831e-06,16,4,1.71e-08,6.67e-15
22,22,2.381488e+01,145,165,19,35,35,35,0,0,143,178,171,0,0,0,3.6107e-15,4.949547e-07,4.949035e-07,1.049173e-05,4.448947e-05,2.2913e-06,7.5340e-06,16,4,1.71e-08,6.67e-15
23,23,3.727869e+01,164,163,22,39,39,39,0,0,150,174,167,0,0,0,5.1362e-15,3.549148e-07,3.533053e-07,7.378201e-06,1.234285e-04,2.2612e-08,6.9275e-07,16,4,1.71e-08,6.67e-15
24,24,3.521959e+01,166,159,11,42,42,42,0,0,161,169,163,0,0,0,7.2869e-15,2.048897e-07,2.043742e-07,3.421855e-06,1.925502e-04,2.3322e-08,1.1633e-06,16,4,1.71e-08,6.67e-15
25,25,2.177199e+01,169,157,10,43,43,43,4,4,162,155,160,4,0,0,5.0953e-15,3.806847e-07,3.808489e-07,1.214106e-06,1.407869e-04,1.3637e-08,1.9457e-06,16,4,1.35e-08,6.67e-15
26,26,2.409758e+01,166,162,2,12,12,12,0,0,161,174,167,0,0,0,1.1985e-14,2.862442e-07,2.857065e-07,4.250209e-07,3.983013e-06,6.2632e-09,2.3584e-06,16,4,1.35e-08,6.67e-15
27,27,3.976242e+01,161,162,2,40,40,40,0,0,147,173,166,0,0,0,1.8291e-14,4.562690e-07,4.563266e-07,7.544068e-07,1.453291e-04,2.9105e-09,5.0817e-08,16,4,3.08e-08,6.67e-15
28,28,4.306419e+01,161,161,1,42,42,42,0,0,151,172,165,0,0,0,2.3026e-14,4.734681e-07,4.726735e-07,5.144335e-07,2.331819e-04,3.9893e-09,1.2126e-06,16,4,3.08e-08,6.67e-15
29,29,3.010024e+01,165,163,1,45,45,45,0,0,161,174,167,0,0,0,5.8793e-15,1.907159e-07,1.902602e-07,5.438997e-07,2.203164e-04,3.5489e-09,2.0419e-06,16,4,3.08e-08,6.67e-15
30,30,2.128865e+01,169,162,2,42,42,42,1,1,164,173,166,1,0,0,1.0895e-14,3.344874e-07,3.343023e-07,3.839722e-07,1.148692e-04,5.9967e-09,3.4200e-06,16,4,3.08e-08,6.67e-15
31,31,4.110471e+01,164,155,1,25,25,25,0,0,152,159,158,0,0,0,2.4350e-14,5.063910e-07,5.063944e-07,6.520466e-07,3.597466e-05,6.9764e-09,1.5654e-06,16,4,3.08e-08,6.67e-15
32,32,5.495333e+01,161,159,0,39,39,39,0,0,148,157,148,0,0,0,2.7274e-15,5.824631e-07,5.823256e-07,6.867117e-07,1.731997e-04,5.3513e-09,2.6800e-07,16,4,2.95e-08,6.67e-15
33,33,4.828642e+01,142,160,1,41,41,41,0,0,142,171,165,0,0,0,1.5975e-14,1.022705e-06,1.021684e-06,9.529848e-07,2.521945e-04,4.2742e-09,1.1591e-06,16,4,2.58e-08,6.67e-15
34,34,2.475542e+01,165,165,106,46,46,46,1,1,154,176,169,1,0,0,1.7933e-14,5.526793e-07,5.511080e-07,4.231703e+01,2.616760e-04,6.1087e-01,2.3925e-06,16,4,2.58e-08,6.67e-15
35,35,2.946714e+01,167,162,165,45,45,45,0,0,154,173,165,0,0,0,1.5457e-14,2.692564e-07,2.684973e-07,1.056417e+02,2.177333e-04,3.2804e-01,4.7006e-06,16,4,2.58e-08,6.67e-15
36,36,5.762186e+01,164,147,158,37,37,37,0,0,159,155,149,0,0,0,8.0694e-15,5.480084e-07,5.470926e-07,2.937779e+01,1.490894e-04,2.0906e-01,1.9615e-06,16,4,2.58e-08,6.67e-15
37,37,6.682488e+01,161,156,152,28,28,28,0,0,156,153,160,0,0,0,1.6955e-14,7.837158e-07,7.828562e-07,8.177272e+00,7.754015e-05,1.0221e-01,9.4230e-07,16,4,2.58e-08,6.67e-15
38,38,4.864706e+01,159,160,14,13,13,13,0,0,146,157,163,0,0,0,2.1106e-14,5.431318e-07,5.413020e-07,9.602628e-06,9.865908e-06,5.0373e-07,5.2412e-07,16,4,2.58e-08,6.67e-15
39,39,1.579961e+01,165,167,25,40,40,40,1,1,159,179,169,1,0,0,1.2202e-14,2.420447e-07,2.413096e-07,1.663615e-05,5.979717e-05,2.9510e-08,1.0986e-07,16,4,2.58e-08,6.67e-15
40,40,4.343146e+01,164,161,17,39,39,39,0,0,159,158,153,0,0,0,5.0095e-15,2.622797e-07,2.625143e-07,6.408638e-06,1.370485e-04,3.8868e-08,8.9498e-07,16,4,2.58e-08,6.67e-15
41,41,7.252598e+01,162,154,5,38,38,38,0,0,158,151,155,0,0,0,7.6270e-15,5.011137e-07,5.022665e-07,2.576671e-06,2.140053e-04,1.1002e-08,1.0756e-06,16,4,2.58e-08,6.67e-15
42,42,7.182300e+01,162,152,2,40,40,40,0,0,157,152,149,0,0,0,1.2159e-14,3.444488e-07,3.459706e-07,1.308845e-06,2.677236e-04,6.0492e-09,1.3233e-06,16,4,2.58e-08,6.67e-15
43,43,3.983642e+01,162,161,1,44,44,44,0,0,151,170,164,0,0,0,6.4762e-15,2.886331e-07,2.891673e-07,5.432794e-07,2.703911e-04,2.7024e-09,1.8933e-06,16,4,2.36e-08,6.67e-15
44,44,1.761528e+01,155,166,3,47,47,47,1,1,145,179,171,1,1,0,6.4914e-15,3.717636e-07,3.713168e-07,5.379360e-07,2.061483e-04,7.6660e-09,3.3311e-06,16,4,2.36e-08,6.67e-15
45,45,6.040156e+01,161,160,0,30,30,30,0,0,152,169,163,0,0,0,9.8759e-15,3.492396e-07,3.495243e-07,7.246463e-07,8.377516e-05,5.4425e-09,2.8953e-06,16,4,2.03e-08,6.67e-15
46,46,7.959879e+01,161,156,0,25,25,25,0,0,156,153,149,0,0,0,2.0386e-14,4.533601e-07,4.549082e-07,9.247453e-07,6.214383e-05,4.4866e-09,6.3750e-07,16,4,2.20e-08,6.67e-15
47,47,6.304830e+01,162,147,1,38,38,38,0,0,159,153,148,0,0,0,1.4062e-14,4.919811e-07,4.929368e-07,8.080896e-07,1.827238e-04,6.1889e-09,3.9746e-07,16,4,2.20e-08,6.67e-15
48,48,2.084790e+01,167,162,2,46,46,46,6,6,162,174,167,6,5,0,1.0152e-14,5.373582e-07,5.374138e-07,3.867131e-07,2.363123e-04,6.7651e-09,1.4943e-06,16,4,2.47e-08,6.67e-15
49,49,3.856591e+01,160,162,1,42,42,42,0,0,148,174,165,0,0,0,1.0297e-14,6.560595e-07,6.540885e-07,5.853638e-07,2.081623e-04,8.4630e-09,4.6089e-06,16,4,2.58e-08,6.67e-15
50,50,7.166924e+01,158,159,0,32,32,32,0,0,146,170,163,0,0,0,5.7997e-15,7.764013e-07,7.763285e-07,1.018655e-06,1.165687e-04,7.6002e-09,2.7330e-06,16,4,2.58e-08,6.67e-15
51,51,7.159545e+01,161,158,106,8,8,8,0,0,154,167,162,0,0,0,4.4553e-15,3.643340e-07,3.646973e-07,1.208205e+02,4.637941e-06,8.7400e-01,8.6592e-07,16,4,2.58e-08,6.67e-15
52,52,4.017180e+01,165,159,159,35,35,35,1,1,154,169,163,1,0,0,4.8022e-15,6.289149e-07,6.285070e-07,4.096274e+01,8.021580e-05,4.3594e-01,3.3569e-08,16,4,2.58e-08,6.67e-15
53,53,2.436731e+01,168,159,165,40,40,40,3,3,162,168,164,3,0,0,1.8714e-14,4.160360e-07,4.158969e-07,4.978595e+01,1.012453e-04,5.1743e-01,9.0248e-07,16,4,2.58e-08,6.67e-15
54,54,5.796534e+01,161,159,152,26,26,26,0,0,152,169,163,0,0,0,5.4209e-15,8.798643e-07,8.792873e-07,7.859028e+00,5.343785e-05,2.3191e-01,1.6945e-06,16,4,2.58e-08,6.67e-15
55,55,6.783528e+01,144,158,25,22,22,22,0,0,140,169,163,0,0,0,4.3472e-15,1.071032e-06,1.068791e-06,3.878847e-05,3.995561e-05,4.6118e-07,4.9907e-07,16,4,2.58e-08,6.67e-15
56,56,4.549556e+01,161,161,22,39,39,39,0,0,158,173,166,0,0,0,6.5754e-15,3.143322e-07,3.139040e-07,4.221969e-05,1.373819e-04,8.4932e-08,3.2348e-07,16,4,2.58e-08,6.67e-15
57,57,1.792660e+01,169,165,32,46,46,46,7,7,159,178,171,7,5,0,6.7035e-15,5.611498e-07,5.587521e-07,1.025537e-05,1.960551e-04,8.5571e-08,1.5913e-06,16,4,2.58e-08,6.67e-15
58,58,4.711445e+01,164,153,10,40,40,40,0,0,160,159,151,0,0,0,9.2383e-15,5.585019e-07,5.548177e-07,3.578020e-06,1.866034e-04,6.3637e-08,4.0029e-06,16,4,2.58e-08,6.67e-15
59,59,6.258199e+01,162,155,3,32,32,32,0,0,155,153,160,0,0,0,3.2825e-15,6.058681e-07,6.059053e-07,1.627954e-06,1.031504e-04,1.4660e-08,1.9829e-06,16,4,2.58e-08,6.67e-15
60,60,4.628057e+01,159,160,2,25,25,25,0,0,146,169,162,0,0,0,7.6006e-15,5.957286e-07,5.960619e-07,8.519880e-07,3.539938e-05,4.9136e-09,8.7535e-07,16,4,2.58e-08,6.67e-15
61,61,1.094929e+01,166,170,8,49,49,49,6,6,160,182,175,6,2,0,6.5733e-15,3.174990e-07,3.165137e-07,4.995636e-07,1.912037e-04,8.5531e-09,4.0851e-07,16,4,2.58e-08,6.67e-15
62,62,3.798893e+01,164,162,3,45,45,45,0,0,155,174,167,0,0,0,1.1206e-14,3.179465e-07,3.181082e-07,1.120483e-06,3.185115e-04,9.9578e-09,5.3021e-06,16,4,2.58e-08,6.67e-15
63,63,5.910616e+01,164,156,2,43,43,43,0,0,160,166,161,0,0,0,4.9412e-15,2.502175e-07,2.504123e-07,1.045135e-06,3.753474e-04,7.4532e-09,3.9740e-06,16,4,2.50e-08,6.67e-15
64,64,4.920629e+01,164,153,1,44,44,44,0,0,161,153,155,0,0,0,6.9351e-15,2.181375e-07,2.182951e-07,7.718669e-07,3.367872e-04,7.1166e-09,3.3071e-06,16,4,2.57e-08,6.67e-15
65,65,1.501885e+01,167,166,7,47,47,47,1,1,157,171,172,1,0,0,8.1814e-15,2.368231e-07,2.366052e-07,6.253065e-07,2.044259e-04,1.5216e-08,3.6691e-06,16,4,2.57e-08,6.67e-15
66,66,3.063253e+01,153,164,2,15,15,15,0,0,143,174,155,0,0,0,8.8955e-15,4.664880e-07,4.646349e-07,7.981045e-07,9.400385e-06,1.3650e-08,6.2655e-06,16,4,2.04e-08,6.67e-15
67,67,5.655238e+01,161,160,1,39,39,39,0,0,156,157,151,0,0,0,7.8969e-15,5.493604e-07,5.504747e-07,1.140033e-06,1.938057e-04,1.2342e-08,1.5289e-07,16,4,2.04e-08,6.67e-15
68,68,5.365103e+01,164,159,106,43,43,43,0,0,160,155,162,0,0,0,5.9562e-15,2.147834e-07,2.160654e-07,8.655743e+01,3.436830e-04,9.6574e-01,1.8487e-06,16,4,2.04e-08,6.67e-15
69,69,2.659177e+01,168,155,150,48,48,48,1,1,154,166,160,1,0,0,7.4646e-15,4.193511e-07,4.195214e-07,5.901628e+00,3.926277e-04,2.4491e-02,3.4827e-06,16,4,2.04e-08,6.67e-15
70,70,2.910613e+01,165,161,153,46,46,46,0,0,151,174,166,0,0,0,9.0268e-15,3.414158e-07,3.389594e-07,7.005290e+00,3.265571e-04,3.8617e-01,6.8139e-06,16,4,2.04e-08,6.67e-15
71,71,5.661757e+01,159,160,158,39,39,39,0,0,146,170,163,0,0,0,5.0165e-15,6.331263e-07,6.283763e-07,1.948294e+01,1.722929e-04,5.9167e-01,5.0094e-06,16,4,2.04e-08,6.67e-15
72,72,5.986386e+01,159,159,17,12,12,12,0,0,146,170,163,0,0,0,1.0125e-14,6.214152e-07,6.216773e-07,1.064673e-05,1.065079e-05,1.5472e-06,1.6205e-06,16,4,2.04e-08,6.67e-15
73,73,3.634024e+01,165,161,39,40,40,40,1,1,152,171,165,1,0,0,6.0998e-15,4.772588e-07,4.770139e-07,1.009068e-04,1.525289e-04,6.0229e-08,9.5829e-08,16,4,2.04e-08,6.67e-15
74,74,2.379281e+01,168,161,31,45,45,45,5,5,163,171,166,5,6,0,1.2564e-14,4.666336e-07,4.664870e-07,1.213592e-05,2.055952e-04,1.0747e-07,1.9416e-06,16,4,2.12e-08,6.67e-15
75,75,5.392830e+01,163,154,11,38,38,38,0,0,159,163,157,0,0,0,2.1427e-14,6.115055e-07,6.111799e-07,3.931242e-06,1.604222e-04,5.5989e-08,3.1351e-06,16,4,2.12e-08,6.67e-15
76,76,6.683957e+01,159,159,7,25,25,25,0,0,152,168,163,0,0,0,1.8089e-14,7.710130e-07,7.718535e-07,3.561569e-06,5.053618e-05,1.1535e-08,1.5211e-06,16,4,2.12e-08,6.67e-15
77,77,5.059067e+01,148,160,4,28,28,28,0,0,144,171,165,0,0,0,2.9854e-15,1.055169e-06,1.058351e-06,2.057397e-06,6.207206e-05,9.0146e-09,3.9362e-07,16,4,2.12e-08,6.67e-15
78,78,1.878917e+01,167,166,18,43,43,43,1,1,162,179,171,1,1,0,3.4983e-15,3.083400e-07,3.042567e-07,1.528734e-06,1.206897e-04,8.1587e-09,5.6556e-07,16,4,2.12e-08,6.67e-15
79,79,3.999698e+01,164,160,5,36,36,36,0,0,151,171,163,0,0,0,1.8139e-15,3.961987e-07,3.949009e-07,1.393422e-06,9.664089e-05,6.0895e-09,1.7213e-06,16,4,2.12e-08,6.67e-15
80,80,6.637515e+01,162,145,1,4,4,4,0,0,152,152,148,0,0,0,3.9580e-15,6.300631e-07,6.249285e-07,1.278519e-06,3.656944e-06,4.7305e-09,1.1001e-06,16,4,2.12e-08,6.67e-15
81,81,6.569028e+01,161,156,1,33,33,33,0,0,151,158,160,0,0,0,4.4804e-15,5.993709e-07,5.939584e-07,9.292794e-07,1.147059e-04,8.9884e-09,2.6409e-08,16,4,2.12e-08,6.67e-15
82,82,3.805467e+01,160,161,3,41,41,41,0,0,147,173,166,0,0,0,3.4567e-15,5.070366e-07,5.039292e-07,1.178777e-06,2.017052e-04,7.0752e-09,7.4566e-07,16,4,2.12e-08,6.67e-15
83,83,1.469615e+01,165,167,7,48,48,48,1,1,160,180,173,1,0,0,4.9209e-15,2.379904e-07,2.375890e-07,8.774862e-07,2.220890e-04,6.8969e-09,1.7372e-06,16,4,2.12e-08,6.67e-15
84,84,4.896765e+01,162,161,1,39,39,39,0,0,159,171,164,0,0,0,5.0248e-15,4.011612e-07,4.014180e-07,6.940896e-07,1.737163e-04,7.5678e-09,4.0211e-06,16,4,2.24e-08,6.67e-15
85,85,6.741669e+01,162,155,105,28,28,28,0,0,158,166,159,0,0,0,8.8859e-15,5.046014e-07,5.038549e-07,8.315423e+01,8.327059e-05,7.5605e-01,1.7566e-06,16,4,2.24e-08,6.67e-15
86,86,5.825945e+01,163,153,164,13,13,13,0,0,158,158,155,0,0,0,9.5499e-15,4.890887e-07,4.877054e-07,1.517103e+02,1.092617e-05,8.4923e-01,5.1927e-07,16,4,2.24e-08,6.67e-15
87,87,2.660544e+01,164,162,152,38,38,38,2,2,151,159,165,2,0,0,2.1204e-14,3.180103e-07,3.174963e-07,4.525305e+00,8.039989e-05,9.9970e-02,6.7139e-08,16,4,2.24e-08,6.67e-15
88,88,2.003654e+01,156,165,160,43,43,43,0,0,145,178,170,0,0,0,3.4763e-15,3.887029e-07,3.883241e-07,1.346282e+01,1.207626e-04,9.8175e-02,8.1444e-07,16,4,2.24e-08,6.67e-15
89,89,5.173241e+01,162,161,39,38,38,38,0,0,152,170,164,0,0,0,1.4457e-15,3.330133e-07,3.332216e-07,1.000859e-04,1.467065e-04,2.0719e-06,2.8991e-06,16,4,2.24e-08,6.67e-15
90,90,6.292435e+01,163,158,37,38,38,38,0,0,157,166,161,0,0,0,5.7701e-15,3.330416e-07,3.337272e-07,1.280923e-04,1.757013e-04,8.4148e-07,1.1614e-06,16,4,2.24e-08,6.67e-15
91,91,4.865693e+01,164,147,26,40,40,40,1,1,159,152,147,1,0,0,7.3648e-15,4.805094e-07,4.800979e-07,1.726134e-05,2.099795e-04,9.0992e-08,1.0176e-06,16,4,2.24e-08,6.67e-15
92,92,1.803464e+01,167,164,22,47,47,47,5,5,162,159,167,5,0,5,9.6930e-15,4.351857e-07,4.344681e-07,8.530234e-06,2.301073e-04,8.1217e-08,1.4592e-06,16,4,2.24e-08,6.67e-15
93,93,2.634904e+01,162,164,21,45,45,45,0,0,150,173,155,0,0,0,1.2562e-14,4.517576e-07,4.475329e-07,4.473970e-06,2.039140e-04,5.0827e-08,4.0478e-06,16,4,2.24e-08,6.67e-15
94,94,5.069650e+01,160,161,7,35,35,35,0,0,151,158,150,0,0,0,1.3091e-14,4.426079e-07,4.426300e-07,2.671060e-06,1.090908e-04,1.1824e-08,3.0161e-06,16,4,3.47e-08,6.67e-15
95,95,5.445360e+01,162,159,4,26,26,26,0,0,158,155,161,0,0,0,1.6446e-14,3.556060e-07,3.568374e-07,1.214990e-06,4.851254e-05,6.0920e-09,7.7413e-07,16,4,3.47e-08,6.67e-15
96,96,3.735481e+01,165,160,4,43,43,43,0,0,161,159,164,0,0,0,1.1555e-14,4.441211e-07,4.434228e-07,9.933175e-07,2.237086e-04,1.3380e-08,3.2306e-07,16,4,2.24e-08,6.67e-15
97,97,1.767960e+01,170,161,11,50,50,50,6,6,164,171,166,6,0,0,1.5541e-14,4.278056e-07,4.279889e-07,2.518480e-06,3.519076e-04,1.3262e-08,2.3227e-06,16,4,3.56e-08,6.67e-15
98,98,3.378201e+01,164,162,4,46,46,46,0,0,150,172,165,0,0,0,1.1604e-14,5.310122e-07,5.304629e-07,1.346694e-06,3.760384e-04,2.7169e-08,7.3886e-06,16,4,3.56e-08,6.67e-15
99,99,4.779541e+01,150,160,3,42,42,42,0,0,144,171,164,0,0,0,3.1590e-15,9.743647e-07,9.726769e-07,1.472008e-06,2.777822e-04,1.9646e-08,3.7503e-06,16,4,3.56e-08,6.67e-15
100,100,4.349475e+01,162,161,2,35,35,35,0,0,149,173,166,0,0,0,8.4166e-15,3.427477e-07,3.401269e-07,1.197186e-06,9.072295e-05,7.7951e-09,2.1751e-06,16,4,3.56e-08,6.67e-15
101,101,2.658008e+01,167,163,3,40,40,40,2,2,161,174,165,2,0,0,1.0018e-14,5.277989e-07,5.277948e-07,7.326899e-07,1.099751e-04,8.3642e-09,8.7435e-07,16,4,3.56e-08,6.67e-15
102,102,2.493610e+01,169,156,91,45,45,45,0,0,164,164,158,0,0,0,1.5675e-14,2.356514e-07,2.340415e-07,1.383015e+00,2.416924e-04,5.6564e-01,1.6775e-06,16,4,3.56e-08,6.67e-15
103,103,3.960047e+01,164,159,161,43,43,43,0,0,158,169,163,0,0,0,1.1250e-14,5.609288e-07,5.610240e-07,6.477338e+01,2.518723e-04,4.3901e-01,3.0120e-06,16,4,3.56e-08,6.67e-15
104,104,4.215839e+01,160,161,159,39,39,39,0,0,146,173,166,0,0,0,2.3898e-14,5.549371e-07,5.554067e-07,2.760694e+01,1.436875e-04,5.8975e-01,2.5105e-06,16,4,3.56e-08,6.67e-15
105,105,2.874331e+01,161,165,152,26,26,26,0,0,154,176,170,0,0,0,3.9074e-14,4.454003e-07,4.449314e-07,3.673297e+00,2.545656e-05,2.1098e-01,1.6847e-06,16,4,3.56e-08,6.67e-15
106,106,1.893483e+01,169,166,46,45,45,45,0,0,163,178,171,0,1,0,4.1882e-15,1.962361e-07,1.960146e-07,1.639403e-04,1.707838e-04,3.2961e-07,4.5116e-07,16,4,3.56e-08,6.67e-15
107,107,3.528198e+01,167,159,41,43,43,43,0,0,161,169,163,0,0,0,5.6615e-15,3.330544e-07,3.328506e-07,1.467413e-04,2.197359e-04,1.6559e-06,2.4788e-06,16,4,3.56e-08,6.67e-15
108,108,4.438401e+01,164,154,26,39,39,39,0,0,152,151,150,0,0,0,1.6414e-14,4.355167e-07,4.343791e-07,1.401765e-05,1.455378e-04,1.3569e-07,2.3699e-06,16,4,3.56e-08,6.67e-15
109,109,3.437968e+01,163,162,25,23,23,23,0,0,150,173,166,0,0,0,6.5657e-15,3.200770e-07,3.195130e-07,1.091789e-05,2.191637e-05,2.5719e-08,1.5910e-06,16,4,3.56e-08,6.67e-15
110,110,1.377943e+01,161,170,22,48,48,48,2,2,156,180,173,2,1,0,8.2302e-15,3.593367e-07,3.595772e-07,3.970347e-06,2.103547e-04,6.3101e-08,3.0335e-07,16,4,2.03e-08,6.67e-15
111,111,2.912537e+01,165,164,10,47,47,47,0,0,154,176,169,0,0,0,3.9262e-15,3.100991e-07,3.091232e-07,2.286438e-06,3.404778e-04,1.3870e-08,3.2179e-06,16,4,2.73e-08,6.67e-15
112,112,4.669760e+01,164,159,9,45,45,45,0,0,161,170,164,0,0,0,4.3897e-15,2.906322e-07,2.909681e-07,2.324112e-06,3.583897e-04,1.9106e-08,4.2886e-06,16,4,2.88e-08,6.67e-15
113,113,4.330701e+01,164,145,9,43,43,43,0,0,161,154,150,0,0,0,4.4086e-15,3.213692e-07,3.168656e-07,3.304864e-06,2.571108e-04,4.6002e-08,4.0119e-06,16,4,2.57e-08,6.67e-15
114,114,2.207656e+01,167,163,8,39,39,39,6,6,156,171,167,6,0,0,3.9268e-15,4.841385e-07,4.838545e-07,1.416625e-06,7.490928e-05,3.2707e-08,2.9887e-06,16,4,2.62e-08,6.67e-15
115,115,2.716781e+01,161,164,10,40,40,40,0,0,147,174,157,0,0,0,3.8768e-15,2.938232e-07,2.918034e-07,2.616210e-06,1.248938e-04,1.0970e-08,9.4229e-07,16,4,2.62e-08,6.67e-15
116,116,5.066526e+01,160,161,2,42,42,42,0,0,148,170,155,0,0,0,7.3242e-15,6.225660e-07,6.229368e-07,1.045050e-06,2.801608e-04,9.3194e-09,1.4579e-06,16,4,2.62e-08,6.67e-15
117,117,5.350837e+01,163,159,1,44,44,44,0,0,158,167,162,0,0,0,8.2989e-15,3.923035e-07,3.927047e-07,8.130323e-07,3.529646e-04,1.1641e-08,2.8404e-06,16,4,2.62e-08,6.67e-15
118,118,3.316768e+01,167,159,5,46,46,46,0,0,154,158,155,0,0,0,3.7866e-15,4.644370e-07,4.639484e-07,1.398100e-06,3.367517e-04,1.6097e-08,3.5367e-06,16,4,2.62e-08,6.67e-15
119,119,2.795879e+01,166,159,101,45,45,45,1,1,153,159,150,1,0,0,9.5301e-15,3.226582e-07,3.224800e-07,1.255691e+01,2.507499e-04,6.3302e-01,3.7621e-06,16,4,2.62e-08,6.67e-15
