# n=24 nd=13824 beats=1 window=16 regime=2 sweeps=3
step,t,nb,cold,warm,f_old,f_rel,f_res,f_div,vmfit,aopt,phys,warmdelta,warmdelta12,enrich,sw_div,sw_big,eta,eA_vmfit,eA_aopt,eA_old,eA_rel,span_old,span_rel,m_old,m_rel,orth_old,orth_rel
0,0,4.679231e+01,107,107,107,107,107,107,107,107,104,147,148,153,107,107,1.0000e+00,8.776832e+01,8.776832e+01,8.776832e+01,8.776832e+01,0.0000e+00,0.0000e+00,0,0,0.00e+00,0.00e+00
1,1,7.229443e+01,160,159,159,159,159,159,159,159,152,169,163,170,159,159,9.7648e-01,1.141911e+02,7.446623e+01,7.446623e+01,7.446623e+01,4.1084e-15,4.1084e-15,1,1,0.00e+00,0.00e+00
2,2,6.587128e+01,162,158,136,136,136,136,129,136,156,168,163,136,136,136,4.4442e-02,6.317628e+00,2.732767e+00,2.732767e+00,2.732767e+00,1.0349e-14,1.0349e-14,2,2,2.25e-15,2.25e-15
3,3,3.573535e+01,165,155,128,128,128,128,129,128,155,165,159,128,128,128,2.8426e-03,5.075864e-01,3.790475e-01,3.790475e-01,3.790475e-01,4.3405e-15,4.3405e-15,3,3,4.42e-15,4.42e-15
4,4,2.780817e+01,166,161,13,13,13,13,13,13,161,158,152,13,13,13,6.6022e-11,4.826573e-06,4.824337e-06,4.824342e-06,4.824342e-06,8.8249e-15,8.8249e-15,4,4,6.67e-15,6.67e-15
5,5,5.279381e+01,159,160,10,21,21,21,11,11,146,170,163,11,11,11,1.6857e-10,5.022653e-06,5.020575e-06,4.993844e-06,2.640478e-05,6.9527e-10,5.6962e-08,5,4,8.70e-10,6.67e-15
6,6,5.893193e+01,159,160,7,31,31,31,10,10,146,170,164,10,10,10,1.4288e-12,3.514066e-06,3.509203e-06,2.827973e-06,7.472453e-05,1.1441e-09,2.6779e-07,6,4,2.15e-09,6.67e-15
7,7,4.243833e+01,164,161,5,39,39,39,8,8,158,173,166,8,8,8,5.0522e-13,1.920287e-06,1.919358e-06,1.417501e-06,1.476863e-04,2.1340e-09,5.8434e-07,7,4,2.15e-09,6.67e-15
8,8,2.369094e+01,168,162,6,45,45,45,9,9,161,174,166,9,9,9,6.0159e-14,9.507607e-07,9.492473e-07,7.597858e-07,2.198594e-04,2.4285e-09,1.1616e-06,8,4,2.15e-09,6.67e-15
9,9,3.604184e+01,165,156,1,44,44,44,1,1,161,165,158,1,1,1,6.6965e-15,6.246956e-07,6.238027e-07,6.266611e-07,2.518476e-04,3.4495e-09,2.3201e-06,9,4,4.77e-09,6.67e-15
10,10,4.674253e+01,162,160,0,40,40,40,0,0,156,157,164,0,0,0,6.7191e-15,6.499695e-07,6.494387e-07,6.602330e-07,2.056974e-04,2.3776e-09,3.4974e-06,10,4,4.77e-09,6.67e-15
