step,t_ms,e0,e1,e2,e3,e4,e5,e6,e7
34,0.3400,-2.4490401873e-02,-2.1971700898e-02,-1.9679445106e-02,-1.7458530844e-02,-1.9418050493e-02,-1.8043503716e-02,-1.6736725242e-02,-1.5415547855e-02
35,0.3500,-2.5187891988e-02,-2.2598292698e-02,-2.0241300970e-02,-1.7957468248e-02,-1.9972576828e-02,-1.8558980091e-02,-1.7215013209e-02,-1.5856174282e-02
36,0.3600,-2.5885382103e-02,-2.3224884499e-02,-2.0803156836e-02,-1.8456405654e-02,-2.0527103166e-02,-1.9074456469e-02,-1.7693301179e-02,-1.6296800713e-02
37,0.3700,-2.6582872217e-02,-2.3851476298e-02,-2.1365012700e-02,-1.8955343059e-02,-2.1081629501e-02,-1.9589932846e-02,-1.8171589148e-02,-1.6737427143e-02
38,0.3800,-2.7280362339e-02,-2.4478068106e-02,-2.1926868572e-02,-1.9454280473e-02,-2.1636155845e-02,-2.0105409231e-02,-1.8649877125e-02,-1.7178053583e-02
39,0.3900,-2.7977852464e-02,-2.5104659917e-02,-2.2488724447e-02,-1.9953217888e-02,-2.2190682191e-02,-2.0620885619e-02,-1.9128165106e-02,-1.7618680025e-02
40,0.4000,-2.8675342582e-02,-2.5731251721e-02,-2.3050580316e-02,-2.0452155298e-02,-2.2745208531e-02,-2.1136362001e-02,-1.9606453081e-02,-1.8059306462e-02
41,0.4100,-2.9372832695e-02,-2.6357843520e-02,-2.3612436180e-02,-2.0951092703e-02,-2.3299734866e-02,-2.1651838378e-02,-2.0084741051e-02,-1.8499932894e-02
42,0.4200,-3.0070322810e-02,-2.6984435321e-02,-2.4174292046e-02,-2.1450030110e-02,-2.3854261203e-02,-2.2167314757e-02,-2.0563029024e-02,-1.8940559329e-02
43,0.4300,-3.0767812928e-02,-2.7611027126e-02,-2.4736147915e-02,-2.1948967519e-02,-2.4408787543e-02,-2.2682791139e-02,-2.1041316999e-02,-1.9381185767e-02
44,0.4400,-3.1465303045e-02,-2.8237618927e-02,-2.5298003781e-02,-2.2447904926e-02,-2.4963313880e-02,-2.3198267519e-02,-2.1519604972e-02,-1.9821812202e-02
45,0.4500,-3.2162793154e-02,-2.8864210723e-02,-2.5859859641e-02,-2.2946842327e-02,-2.5517840211e-02,-2.3713743892e-02,-2.1997892939e-02,-2.0262438632e-02
46,0.4600,-3.2842055249e-02,-2.9474940711e-02,-2.6407877011e-02,-2.3433777609e-02,-2.6058795122e-02,-2.4216710836e-02,-2.2464639769e-02,-2.0692461275e-02
47,0.4700,-3.3506127346e-02,-3.0072452540e-02,-2.6944362320e-02,-2.3910711137e-02,-2.6588440530e-02,-2.4709253267e-02,-2.2921768997e-02,-2.1113647442e-02
48,0.4800,-3.4170199418e-02,-3.0669964343e-02,-2.7480847602e-02,-2.4387644639e-02,-2.7118085912e-02,-2.5201795673e-02,-2.3378898200e-02,-2.1534833583e-02
49,0.4900,-3.4834271489e-02,-3.1267476146e-02,-2.8017332884e-02,-2.4864578140e-02,-2.7647731293e-02,-2.5694338078e-02,-2.3836027401e-02,-2.1956019722e-02
50,0.5000,-3.5498342957e-02,-3.1864987326e-02,-2.8553817520e-02,-2.5341510967e-02,-2.8177376030e-02,-2.6186879811e-02,-2.4293155894e-02,-2.2377205103e-02
51,0.5100,-3.7622473574e-02,-3.3773176983e-02,-3.0264837189e-02,-2.6860930257e-02,-2.9866030024e-02,-2.7756695806e-02,-2.5749823488e-02,-2.3719314208e-02
52,0.5200,-3.9746604184e-02,-3.5681366635e-02,-3.1975856852e-02,-2.8380349541e-02,-3.1554684011e-02,-2.9326511795e-02,-2.7206491074e-02,-2.5061423305e-02
53,0.5300,-4.1870734795e-02,-3.7589556287e-02,-3.3686876517e-02,-2.9899768827e-02,-3.3243338000e-02,-3.0896327786e-02,-2.8663158664e-02,-2.6403532407e-02
54,0.5400,-4.3994865408e-02,-3.9497745942e-02,-3.5397896184e-02,-3.1419188114e-02,-3.4931991991e-02,-3.2466143778e-02,-3.0119826255e-02,-2.7745641509e-02
55,0.5500,-4.6113749105e-02,-4.1401411716e-02,-3.7105004874e-02,-3.2935247520e-02,-3.6616816868e-02,-3.4032447057e-02,-3.1573267875e-02,-2.9084800459e-02
56,0.5600,-4.8169794255e-02,-4.3250898228e-02,-3.8765274608e-02,-3.4411068042e-02,-3.8255783199e-02,-3.5556681090e-02,-3.2988074356e-02,-3.0388627547e-02
57,0.5700,-5.0225840146e-02,-4.5100385634e-02,-4.0425545353e-02,-3.5886889650e-02,-3.9894750626e-02,-3.7080916121e-02,-3.4402881675e-02,-3.1692455231e-02
58,0.5800,-5.2281884529e-02,-4.6949871184e-02,-4.2085813968e-02,-3.7362708931e-02,-4.1533715689e-02,-3.8605149063e-02,-3.5817687306e-02,-3.2996281797e-02
59,0.5900,-5.4337929649e-02,-4.8799357657e-02,-4.3746083657e-02,-3.8838529399e-02,-4.3172681976e-02,-4.0129383041e-02,-3.7232493723e-02,-3.4300108811e-02
60,0.6000,-5.6393974753e-02,-5.0648844116e-02,-4.5406353329e-02,-4.0314349850e-02,-4.4811648239e-02,-4.1653617011e-02,-3.8647300145e-02,-3.5603935844e-02
61,0.6100,-5.8450019802e-02,-5.2498330493e-02,-4.7066622895e-02,-4.1790170164e-02,-4.6450614398e-02,-4.3177850845e-02,-4.0062106394e-02,-3.6907762658e-02
62,0.6200,-6.0506064957e-02,-5.4347816996e-02,-4.8726892606e-02,-4.3265990648e-02,-4.8089580697e-02,-4.4702084851e-02,-4.1476912855e-02,-3.8211589731e-02
63,0.6300,-6.2562110091e-02,-5.6197303481e-02,-5.0387162302e-02,-4.4741811120e-02,-4.9728546980e-02,-4.6226318844e-02,-4.2891719304e-02,-3.9515416794e-02
64,0.6400,-6.4618155212e-02,-5.8046789953e-02,-5.2047431986e-02,-4.6217631579e-02,-5.1367513250e-02,-4.7750552825e-02,-4.4306525741e-02,-4.0819243847e-02
