step,t_ms,e0,e1,e2,e3,e4,e5,e6,e7
1092,10.9200,-1.9579645087e+00,-1.8450931889e+00,-1.7229876270e+00,-1.5814643414e+00,-1.7373694800e+00,-1.5958726199e+00,-1.4469210298e+00,-1.2796045452e+00
1093,10.9300,-1.9560478990e+00,-1.8435361053e+00,-1.7218275214e+00,-1.5807707692e+00,-1.7363306224e+00,-1.5949848389e+00,-1.4461931726e+00,-1.2790563821e+00
1094,10.9400,-1.9535750369e+00,-1.8414037474e+00,-1.7200743076e+00,-1.5794666814e+00,-1.7347018238e+00,-1.5934871183e+00,-1.4448379171e+00,-1.2778655199e+00
1095,10.9500,-1.9511302539e+00,-1.8392995910e+00,-1.7183485993e+00,-1.5781882089e+00,-1.7330993274e+00,-1.5920165212e+00,-1.4435098492e+00,-1.2767007851e+00
1096,10.9600,-1.9486555717e+00,-1.8371647528e+00,-1.7165907508e+00,-1.5768751254e+00,-1.7314634751e+00,-1.5905128691e+00,-1.4421483024e+00,-1.2755011404e+00
1097,10.9700,-1.9462802784e+00,-1.8351458190e+00,-1.7149627157e+00,-1.5757032459e+00,-1.7299401821e+00,-1.5891632064e+00,-1.4409789832e+00,-1.2745294763e+00
1098,10.9800,-1.9451840093e+00,-1.8344588977e+00,-1.7147187091e+00,-1.5759692022e+00,-1.7297919078e+00,-1.5892487850e+00,-1.4413003715e+00,-1.2751014177e+00
1099,10.9900,-1.9446459154e+00,-1.8343526366e+00,-1.7150774010e+00,-1.5768606936e+00,-1.7302430694e+00,-1.5899582122e+00,-1.4422677214e+00,-1.2763403372e+00
1100,11.0000,-1.9442670276e+00,-1.8344043364e+00,-1.7155922123e+00,-1.5779055938e+00,-1.7308509244e+00,-1.5908211626e+00,-1.4433851023e+00,-1.2777252052e+00
1101,11.0100,-1.9429651757e+00,-1.8334963719e+00,-1.7151159479e+00,-1.5779336645e+00,-1.7304812583e+00,-1.5906600049e+00,-1.4434394836e+00,-1.2780158856e+00
1102,11.0200,-1.9422893191e+00,-1.8332552093e+00,-1.7153468590e+00,-1.5787109918e+00,-1.7308112424e+00,-1.5912467593e+00,-1.4442874857e+00,-1.2791442583e+00
1103,11.0300,-1.9415900358e+00,-1.8329895169e+00,-1.7155504769e+00,-1.5794560429e+00,-1.7311090214e+00,-1.5918064158e+00,-1.4451119153e+00,-1.2802510533e+00
1104,11.0400,-1.9409362528e+00,-1.8327660278e+00,-1.7157925445e+00,-1.5802349348e+00,-1.7314458981e+00,-1.5924003076e+00,-1.4459655722e+00,-1.2813816854e+00
1105,11.0500,-1.9406457379e+00,-1.8329123478e+00,-1.7164141414e+00,-1.5814076257e+00,-1.7321775958e+00,-1.5933723032e+00,-1.4471837491e+00,-1.2828657615e+00
1106,11.0600,-1.9396007425e+00,-1.8322915177e+00,-1.7162527909e+00,-1.5817772295e+00,-1.7321107168e+00,-1.5935579743e+00,-1.4476246221e+00,-1.2835789549e+00
1107,11.0700,-1.9382007212e+00,-1.8312991888e+00,-1.7157049113e+00,-1.5817461918e+00,-1.7316607021e+00,-1.5933429474e+00,-1.4476505735e+00,-1.2838656856e+00
1108,11.0800,-1.9375287381e+00,-1.8310531041e+00,-1.7159238632e+00,-1.5825070925e+00,-1.7319872370e+00,-1.5939062745e+00,-1.4484566931e+00,-1.2849354091e+00
1109,11.0900,-1.9367119321e+00,-1.8306562874e+00,-1.7159853970e+00,-1.5831023906e+00,-1.7321550889e+00,-1.5943067619e+00,-1.4490955809e+00,-1.2858328810e+00
1110,11.1000,-1.9359168171e+00,-1.8302789358e+00,-1.7160636665e+00,-1.5837107579e+00,-1.7323401230e+00,-1.5947207605e+00,-1.4497440558e+00,-1.2867353272e+00
1111,11.1100,-1.9367713555e+00,-1.8316036947e+00,-1.7179011676e+00,-1.5861446478e+00,-1.7343013147e+00,-1.5969332819e+00,-1.4522150949e+00,-1.2894869797e+00
1112,11.1200,-1.9369825268e+00,-1.8322752500e+00,-1.7190709437e+00,-1.5878897697e+00,-1.7355725697e+00,-1.5984799357e+00,-1.4540400884e+00,-1.2916088274e+00
1113,11.1300,-1.9356589890e+00,-1.8313678370e+00,-1.7186168565e+00,-1.5879627913e+00,-1.7352118005e+00,-1.5983708582e+00,-1.4541891295e+00,-1.2920370282e+00
1114,11.1400,-1.9334043700e+00,-1.8295025277e+00,-1.7171779145e+00,-1.5870221628e+00,-1.7338634688e+00,-1.5972560687e+00,-1.4533164490e+00,-1.2914287743e+00
1115,11.1500,-1.9312920330e+00,-1.8277810222e+00,-1.7158844012e+00,-1.5862287247e+00,-1.7326627874e+00,-1.5962862649e+00,-1.4525860114e+00,-1.2909597961e+00
1116,11.1600,-1.9291464245e+00,-1.8260262910e+00,-1.7145572750e+00,-1.5854006594e+00,-1.7314278207e+00,-1.5952826051e+00,-1.4518215423e+00,-1.2904559029e+00
1117,11.1700,-1.9268592850e+00,-1.8241240957e+00,-1.7130757277e+00,-1.5844095085e+00,-1.7300364495e+00,-1.5941191914e+00,-1.4508931266e+00,-1.2897827814e+00
1118,11.1800,-1.9247249927e+00,-1.8223766694e+00,-1.7117512833e+00,-1.5835783776e+00,-1.7288054000e+00,-1.5931125123e+00,-1.4501180682e+00,-1.2892596502e+00
1119,11.1900,-1.9245950032e+00,-1.8226954063e+00,-1.7125625686e+00,-1.5849669627e+00,-1.7297384937e+00,-1.5942843344e+00,-1.4515375210e+00,-1.2909510636e+00
1120,11.2000,-1.9242168170e+00,-1.8227585906e+00,-1.7131083390e+00,-1.5860761407e+00,-1.7303966799e+00,-1.5951875563e+00,-1.4526927449e+00,-1.2923805404e+00
1121,11.2100,-1.9228543286e+00,-1.8218130373e+00,-1.7126163090e+00,-1.5861109781e+00,-1.7299962468e+00,-1.5950412863e+00,-1.4528047339e+00,-1.2927698793e+00
1122,11.2200,-1.9215530379e+00,-1.8209282813e+00,-1.7121848117e+00,-1.5862061599e+00,-1.7296584903e+00,-1.5949536391e+00,-1.4529715691e+00,-1.2932103063e+00
1123,11.2300,-1.9203276493e+00,-1.8201194379e+00,-1.7118291639e+00,-1.5863769415e+00,-1.7293981409e+00,-1.5949403889e+00,-1.4532098207e+00,-1.2937189775e+00
1124,11.2400,-1.9197107700e+00,-1.8199486203e+00,-1.7121420464e+00,-1.5872500268e+00,-1.7298060894e+00,-1.5956227662e+00,-1.4541689322e+00,-1.2949733511e+00
1125,11.2500,-1.9202435545e+00,-1.8209703198e+00,-1.7136918709e+00,-1.5894093397e+00,-1.7314529016e+00,-1.5975798982e+00,-1.4564364482e+00,-1.2975698369e+00
1126,11.2600,-1.9206049498e+00,-1.8218109331e+00,-1.7150506594e+00,-1.5913667445e+00,-1.7329094901e+00,-1.5993365842e+00,-1.4584939576e+00,-1.2999470194e+00
1127,11.2700,-1.9199183059e+00,-1.8215606256e+00,-1.7152792613e+00,-1.5921572369e+00,-1.7332490625e+00,-1.5999217742e+00,-1.4593318538e+00,-1.3010622716e+00
1128,11.2800,-1.9192740501e+00,-1.8213524015e+00,-1.7155489417e+00,-1.5929867283e+00,-1.7336291114e+00,-1.6005470253e+00,-1.4602088854e+00,-1.3022147479e+00
1129,11.2900,-1.9195995453e+00,-1.8221405652e+00,-1.7168465338e+00,-1.5948840968e+00,-1.7350574294e+00,-1.6022145799e+00,-1.4621242544e+00,-1.3044043391e+00
1130,11.3000,-1.9193298491e+00,-1.8223121517e+00,-1.7175055592e+00,-1.5961187516e+00,-1.7358455665e+00,-1.6032256591e+00,-1.4633684620e+00,-1.3059087553e+00
1131,11.3100,-1.9176843651e+00,-1.8210621323e+00,-1.7166964141e+00,-1.5958349110e+00,-1.7351604086e+00,-1.6027325507e+00,-1.4630811186e+00,-1.3058561804e+00
1132,11.3200,-1.9140739612e+00,-1.8177914097e+00,-1.7138088848e+00,-1.5934091334e+00,-1.7323798303e+00,-1.6001246220e+00,-1.4606631746e+00,-1.3036596111e+00
1133,11.3300,-1.9107866427e+00,-1.8148558148e+00,-1.7112678902e+00,-1.5913409508e+00,-1.7299440508e+00,-1.5978738207e+00,-1.4586133713e+00,-1.3018409727e+00
1134,11.3400,-1.9080335485e+00,-1.8124789569e+00,-1.7093090524e+00,-1.5898780995e+00,-1.7280834235e+00,-1.5962301431e+00,-1.4572003439e+00,-1.3006872268e+00
1135,11.3500,-1.9057143067e+00,-1.8105593730e+00,-1.7078298962e+00,-1.5889171343e+00,-1.7266940557e+00,-1.5950916497e+00,-1.4563247943e+00,-1.3001025727e+00
1136,11.3600,-1.9034574918e+00,-1.8087010927e+00,-1.7064106432e+00,-1.5880142604e+00,-1.7253659018e+00,-1.5940104398e+00,-1.4555021879e+00,-1.2995659187e+00
1137,11.3700,-1.9011876296e+00,-1.8068272789e+00,-1.7049730946e+00,-1.5870898237e+00,-1.7240201475e+00,-1.5929077002e+00,-1.4546539477e+00,-1.2989991377e+00
1138,11.3800,-1.8989838968e+00,-1.8050199144e+00,-1.7036021313e+00,-1.5862319000e+00,-1.7227421778e+00,-1.5918704180e+00,-1.4538683983e+00,-1.2984917385e+00
1139,11.3900,-1.8967432914e+00,-1.8031737333e+00,-1.7021898978e+00,-1.5853294488e+00,-1.7214219883e+00,-1.5907900638e+00,-1.4530385120e+00,-1.2979381528e+00
1140,11.4000,-1.8943878031e+00,-1.8012096672e+00,-1.7006563880e+00,-1.5843016478e+00,-1.7199798801e+00,-1.5895856604e+00,-1.4520821053e+00,-1.2972551018e+00
1141,11.4100,-1.8931254467e+00,-1.8003806693e+00,-1.7003051883e+00,-1.5845132988e+00,-1.7197319666e+00,-1.5895991871e+00,-1.4523696383e+00,-1.2978467500e+00
1142,11.4200,-1.8923234853e+00,-1.8000334696e+00,-1.7004593304e+00,-1.5852581781e+00,-1.7199917902e+00,-1.5901381946e+00,-1.4532004973e+00,-1.2990014023e+00
1143,11.4300,-1.8925217095e+00,-1.8007176986e+00,-1.7016775217e+00,-1.5871037415e+00,-1.7213193695e+00,-1.5917672028e+00,-1.4551416053e+00,-1.3012863414e+00
1144,11.4400,-1.8932221183e+00,-1.8019176347e+00,-1.7034251057e+00,-1.5894934674e+00,-1.7231780423e+00,-1.5939359915e+00,-1.4576301074e+00,-1.3041257451e+00
1145,11.4500,-1.8927237452e+00,-1.8018861392e+00,-1.7039042763e+00,-1.5905699041e+00,-1.7237498387e+00,-1.5948164371e+00,-1.4588281808e+00,-1.3056706606e+00
1146,11.4600,-1.8921255545e+00,-1.8017505671e+00,-1.7042749566e+00,-1.5915329640e+00,-1.7242140617e+00,-1.5955836458e+00,-1.4599073614e+00,-1.3070907535e+00
1147,11.4700,-1.8912182640e+00,-1.8012985338e+00,-1.7043209778e+00,-1.5921615633e+00,-1.7243519630e+00,-1.5960197527e+00,-1.4606503352e+00,-1.3081687678e+00
1148,11.4800,-1.8904628054e+00,-1.8010001063e+00,-1.7045222727e+00,-1.5929470248e+00,-1.7246460399e+00,-1.5966116907e+00,-1.4615486000e+00,-1.3094012175e+00
1149,11.4900,-1.8896288273e+00,-1.8006181614e+00,-1.7046350444e+00,-1.5936386257e+00,-1.7248534130e+00,-1.5971092511e+00,-1.4623451126e+00,-1.3105244788e+00
1150,11.5000,-1.8888661063e+00,-1.8003058880e+00,-1.7048154726e+00,-1.5943951951e+00,-1.7251283627e+00,-1.5976723887e+00,-1.4632048567e+00,-1.3117080549e+00
1151,11.5100,-1.8882651723e+00,-1.8001583614e+00,-1.7051641528e+00,-1.5953247865e+00,-1.7255736769e+00,-1.5984056067e+00,-1.4642344517e+00,-1.3130614344e+00
1152,11.5200,-1.8876568592e+00,-1.8000186938e+00,-1.7055363921e+00,-1.5962951577e+00,-1.7260336473e+00,-1.5991843413e+00,-1.4653417750e+00,-1.3145269436e+00
1153,11.5300,-1.8866934238e+00,-1.7995128941e+00,-1.7055300212e+00,-1.5968718305e+00,-1.7261102095e+00,-1.5995763932e+00,-1.4660584168e+00,-1.3155968097e+00
1154,11.5400,-1.8857696075e+00,-1.7990459731e+00,-1.7055615943e+00,-1.5974851760e+00,-1.7262253278e+00,-1.6000048290e+00,-1.4668089931e+00,-1.3166978106e+00
1155,11.5500,-1.8856614684e+00,-1.7994140021e+00,-1.7064543384e+00,-1.5989968644e+00,-1.7272289092e+00,-1.6013005013e+00,-1.4684101714e+00,-1.3186379663e+00
1156,11.5600,-1.8845473385e+00,-1.7987464089e+00,-1.7062805947e+00,-1.5994081306e+00,-1.7271597446e+00,-1.6015072505e+00,-1.4689063515e+00,-1.3194569366e+00
1157,11.5700,-1.8833214038e+00,-1.7979637296e+00,-1.7059877420e+00,-1.5996949213e+00,-1.7269707525e+00,-1.6015912725e+00,-1.4692763491e+00,-1.3201452327e+00
1158,11.5800,-1.8821640146e+00,-1.7972492354e+00,-1.7057625213e+00,-1.6000484155e+00,-1.7268502615e+00,-1.6017415102e+00,-1.4697101431e+00,-1.3208944831e+00
1159,11.5900,-1.8809523389e+00,-1.7964766513e+00,-1.7054743630e+00,-1.6003324208e+00,-1.7266639515e+00,-1.6018260727e+00,-1.4700777246e+00,-1.3215760854e+00
1160,11.6000,-1.8794383724e+00,-1.7953904337e+00,-1.7048616174e+00,-1.6002806502e+00,-1.7261551681e+00,-1.6015754648e+00,-1.4700994437e+00,-1.3219021457e+00
1161,11.6100,-1.8778139496e+00,-1.7941832726e+00,-1.7041191489e+00,-1.6000921339e+00,-1.7255243522e+00,-1.6011829085e+00,-1.4699620924e+00,-1.3220541027e+00
1162,11.6200,-1.8753129930e+00,-1.7920747955e+00,-1.7024471280e+00,-1.5989399465e+00,-1.7239491368e+00,-1.5998456293e+00,-1.4688770303e+00,-1.3212528010e+00
1163,11.6300,-1.8726879225e+00,-1.7898391232e+00,-1.7006443093e+00,-1.5976524173e+00,-1.7222421118e+00,-1.5983747572e+00,-1.4676561286e+00,-1.3203126997e+00
1164,11.6400,-1.8699487501e+00,-1.7874854069e+00,-1.6987248750e+00,-1.5962575092e+00,-1.7204342525e+00,-1.5967799425e+00,-1.4662911738e+00,-1.3192133770e+00
1165,11.6500,-1.8673602925e+00,-1.7852838543e+00,-1.6969586891e+00,-1.5950163319e+00,-1.7187803209e+00,-1.5953383536e+00,-1.4650784149e+00,-1.3182643617e+00
1166,11.6600,-1.8646892317e+00,-1.7829972568e+00,-1.6951038657e+00,-1.5936811002e+00,-1.7170347649e+00,-1.5938064629e+00,-1.4637758873e+00,-1.3172249206e+00
1167,11.6700,-1.8627739228e+00,-1.7815040475e+00,-1.6940808306e+00,-1.5932193808e+00,-1.7161158851e+00,-1.5931443153e+00,-1.4633841949e+00,-1.3171376561e+00
1168,11.6800,-1.8626321886e+00,-1.7818509665e+00,-1.6949693230e+00,-1.5947507997e+00,-1.7171181422e+00,-1.5944518837e+00,-1.4650131217e+00,-1.3191265302e+00
1169,11.6900,-1.8627247893e+00,-1.7824397380e+00,-1.6961065375e+00,-1.5965373344e+00,-1.7183659961e+00,-1.5960162215e+00,-1.4669095600e+00,-1.3213936506e+00
1170,11.7000,-1.8616785107e+00,-1.7818616184e+00,-1.6960427320e+00,-1.5970788239e+00,-1.7183882152e+00,-1.5963652044e+00,-1.4675968984e+00,-1.3224533500e+00
1171,11.7100,-1.8602710249e+00,-1.7808999221e+00,-1.6955777929e+00,-1.5972074281e+00,-1.7180290780e+00,-1.5962857279e+00,-1.4678133425e+00,-1.3230046083e+00
1172,11.7200,-1.8596867234e+00,-1.7807988410e+00,-1.6960121240e+00,-1.5982777818e+00,-1.7185676209e+00,-1.5971412246e+00,-1.4690009780e+00,-1.3245640144e+00
1173,11.7300,-1.8595941962e+00,-1.7812130824e+00,-1.6969841758e+00,-1.5999078489e+00,-1.7196345794e+00,-1.5985606630e+00,-1.4707868259e+00,-1.3267556708e+00
1174,11.7400,-1.8589446348e+00,-1.7810457812e+00,-1.6973494104e+00,-1.6009033334e+00,-1.7200952789e+00,-1.5993505568e+00,-1.4719213541e+00,-1.3282744952e+00
1175,11.7500,-1.8576013586e+00,-1.7801594584e+00,-1.6969694745e+00,-1.6011246935e+00,-1.7198102416e+00,-1.5993726533e+00,-1.4722676092e+00,-1.3289846750e+00
1176,11.7600,-1.8563407380e+00,-1.7793553696e+00,-1.6966716289e+00,-1.6014283547e+00,-1.7196105980e+00,-1.5994740870e+00,-1.4726869974e+00,-1.3297614083e+00
1177,11.7700,-1.8553395882e+00,-1.7788177078e+00,-1.6966476972e+00,-1.6020145446e+00,-1.7196875458e+00,-1.5998540691e+00,-1.4733867843e+00,-1.3308203711e+00
1178,11.7800,-1.8540579454e+00,-1.7779850780e+00,-1.6963167238e+00,-1.6022840692e+00,-1.7194685516e+00,-1.5999098462e+00,-1.4737382046e+00,-1.3315096735e+00
1179,11.7900,-1.8525447623e+00,-1.7769149950e+00,-1.6957411777e+00,-1.6022998935e+00,-1.7190015597e+00,-1.5997165848e+00,-1.4738384312e+00,-1.3319442479e+00
1180,11.8000,-1.8506039747e+00,-1.7754042921e+00,-1.6947083560e+00,-1.6018359622e+00,-1.7180631635e+00,-1.5990602572e+00,-1.4734816491e+00,-1.3319250843e+00
1181,11.8100,-1.8492494506e+00,-1.7745184940e+00,-1.6943377830e+00,-1.6020719737e+00,-1.7177692536e+00,-1.5991123311e+00,-1.4738951488e+00,-1.3327385059e+00
1182,11.8200,-1.8474167165e+00,-1.7731354967e+00,-1.6934512842e+00,-1.6017726424e+00,-1.7169631555e+00,-1.5986295289e+00,-1.4737526018e+00,-1.3329755197e+00
1183,11.8300,-1.8448963477e+00,-1.7710350227e+00,-1.6918175402e+00,-1.6006947293e+00,-1.7154136467e+00,-1.5973707708e+00,-1.4728034525e+00,-1.3323760170e+00
1184,11.8400,-1.8422575097e+00,-1.7688149565e+00,-1.6900629430e+00,-1.5994944658e+00,-1.7137434165e+00,-1.5959897091e+00,-1.4717298036e+00,-1.3316490757e+00
1185,11.8500,-1.8397991892e+00,-1.7667755533e+00,-1.6884893400e+00,-1.5984757331e+00,-1.7122569313e+00,-1.5947877354e+00,-1.4708306317e+00,-1.3310917367e+00
1186,11.8600,-1.8381374118e+00,-1.7655626569e+00,-1.6877736600e+00,-1.5983503056e+00,-1.7116289220e+00,-1.5944714226e+00,-1.4708428577e+00,-1.3314719651e+00
1187,11.8700,-1.8369210339e+00,-1.7648096741e+00,-1.6875327485e+00,-1.5987159168e+00,-1.7114753674e+00,-1.5946431837e+00,-1.4713559266e+00,-1.3323658191e+00
1188,11.8800,-1.8355638090e+00,-1.7639129932e+00,-1.6871447193e+00,-1.5989300119e+00,-1.7111731480e+00,-1.5946656673e+00,-1.4717188536e+00,-1.3331082057e+00
1189,11.8900,-1.8350498785e+00,-1.7638917994e+00,-1.6876689929e+00,-1.6001019953e+00,-1.7117978982e+00,-1.5956237649e+00,-1.4730262442e+00,-1.3348061422e+00
1190,11.9000,-1.8355503706e+00,-1.7649152360e+00,-1.6892716034e+00,-1.6023929303e+00,-1.7135132708e+00,-1.5976819027e+00,-1.4754432031e+00,-1.3376249003e+00
1191,11.9100,-1.8358690565e+00,-1.7657513538e+00,-1.6906805277e+00,-1.6044821688e+00,-1.7150334485e+00,-1.5995413818e+00,-1.4776579351e+00,-1.3402371977e+00
1192,11.9200,-1.8358661655e+00,-1.7662572239e+00,-1.6917500074e+00,-1.6062214441e+00,-1.7162140422e+00,-1.6010531268e+00,-1.4795169169e+00,-1.3424852431e+00
1193,11.9300,-1.8352645513e+00,-1.7661505467e+00,-1.6921880310e+00,-1.6073023260e+00,-1.7167394853e+00,-1.6019327264e+00,-1.4807647613e+00,-1.3441407182e+00
1194,11.9400,-1.8354124848e+00,-1.7668269907e+00,-1.6934436827e+00,-1.6092386655e+00,-1.7180781333e+00,-1.6036642900e+00,-1.4829024026e+00,-1.3467250774e+00
1195,11.9500,-1.8354227348e+00,-1.7673584966e+00,-1.6945464908e+00,-1.6110129373e+00,-1.7192642645e+00,-1.6052353228e+00,-1.4848713490e+00,-1.3491319104e+00
1196,11.9600,-1.8356949049e+00,-1.7681534150e+00,-1.6959142191e+00,-1.6130537684e+00,-1.7207170962e+00,-1.6070711030e+00,-1.4871030807e+00,-1.3517994819e+00
1197,11.9700,-1.8349435208e+00,-1.7678827789e+00,-1.6961742315e+00,-1.6139420681e+00,-1.7210671932e+00,-1.6077587205e+00,-1.4881441106e+00,-1.3532348738e+00
1198,11.9800,-1.8325832782e+00,-1.7659411232e+00,-1.6947007583e+00,-1.6130303459e+00,-1.7196891214e+00,-1.6066545661e+00,-1.4873338281e+00,-1.3527607068e+00
1199,11.9900,-1.8296076897e+00,-1.7633555323e+00,-1.6925549783e+00,-1.6114164567e+00,-1.7176441024e+00,-1.6048494456e+00,-1.4857907231e+00,-1.3515222989e+00
1200,12.0000,-1.8265575414e+00,-1.7606952693e+00,-1.6903337261e+00,-1.6097252883e+00,-1.7155212349e+00,-1.6029694507e+00,-1.4841748686e+00,-1.3502122342e+00
1201,12.0100,-1.8224414252e+00,-1.7569500575e+00,-1.6870001969e+00,-1.6068824331e+00,-1.7122496961e+00,-1.5999760052e+00,-1.4814719548e+00,-1.3478338643e+00
1202,12.0200,-1.8168956912e+00,-1.7517236082e+00,-1.6821293801e+00,-1.6024378123e+00,-1.7074259976e+00,-1.5954051204e+00,-1.4771633060e+00,-1.3438182207e+00
1203,12.0300,-1.8126975955e+00,-1.7478985468e+00,-1.6787184909e+00,-1.5995216476e+00,-1.7040697575e+00,-1.5923426465e+00,-1.4744048209e+00,-1.3413984184e+00
1204,12.0400,-1.8085945042e+00,-1.7441705785e+00,-1.6754070756e+00,-1.5967077362e+00,-1.7008155535e+00,-1.5893798168e+00,-1.4717438856e+00,-1.3390739878e+00
1205,12.0500,-1.8047065945e+00,-1.7406902705e+00,-1.6723724726e+00,-1.5941968731e+00,-1.6978097028e+00,-1.5867400934e+00,-1.4694779687e+00,-1.3372164412e+00
1206,12.0600,-1.8005852721e+00,-1.7369763103e+00,-1.6691007534e+00,-1.5914411039e+00,-1.6945512557e+00,-1.5838702246e+00,-1.4670011090e+00,-1.3351645518e+00
1207,12.0700,-1.7960870832e+00,-1.7328729366e+00,-1.6654265267e+00,-1.5882681617e+00,-1.6908906379e+00,-1.5805858809e+00,-1.4640981076e+00,-1.3326745420e+00
1208,12.0800,-1.7907494691e+00,-1.7279028009e+00,-1.6608555456e+00,-1.5841629563e+00,-1.6863255036e+00,-1.5763833124e+00,-1.4602637073e+00,-1.3292386631e+00
1209,12.0900,-1.7863033983e+00,-1.7238579783e+00,-1.6572465771e+00,-1.5810628987e+00,-1.6827277674e+00,-1.5731722928e+00,-1.4574440920e+00,-1.3268421991e+00
1210,12.1000,-1.7830254665e+00,-1.7210282695e+00,-1.6549023480e+00,-1.5792838996e+00,-1.6803948255e+00,-1.5712710594e+00,-1.4559782029e+00,-1.3258454635e+00
1211,12.1100,-1.7788433177e+00,-1.7172792997e+00,-1.6516190827e+00,-1.5765388836e+00,-1.6770952176e+00,-1.5684329373e+00,-1.4536030833e+00,-1.3239665024e+00
1212,12.1200,-1.7747169096e+00,-1.7135926183e+00,-1.6484046115e+00,-1.5738694515e+00,-1.6738612655e+00,-1.5656719446e+00,-1.4513167843e+00,-1.3221887843e+00
1213,12.1300,-1.7705357637e+00,-1.7098476008e+00,-1.6451285951e+00,-1.5711355254e+00,-1.6705700420e+00,-1.5628433722e+00,-1.4489530456e+00,-1.3203235955e+00
1214,12.1400,-1.7665021562e+00,-1.7062510092e+00,-1.6420023550e+00,-1.5685533641e+00,-1.6674321575e+00,-1.5601631633e+00,-1.4467330890e+00,-1.3185977128e+00
1215,12.1500,-1.7623252153e+00,-1.7025058898e+00,-1.6387224185e+00,-1.5658120351e+00,-1.6641427967e+00,-1.5573229354e+00,-1.4443447801e+00,-1.3166948139e+00
1216,12.1600,-1.7581179233e+00,-1.6987276467e+00,-1.6354068301e+00,-1.5630326794e+00,-1.6608206947e+00,-1.5544426204e+00,-1.4419092837e+00,-1.3147375090e+00
1217,12.1700,-1.7541002249e+00,-1.6951410898e+00,-1.6322852617e+00,-1.5604500633e+00,-1.6576957983e+00,-1.5517558827e+00,-1.4396639422e+00,-1.3129667814e+00
1218,12.1800,-1.7505085234e+00,-1.6919955587e+00,-1.6296215044e+00,-1.5583456259e+00,-1.6550336923e+00,-1.5495386916e+00,-1.4378945960e+00,-1.3116792477e+00
1219,12.1900,-1.7455611979e+00,-1.6874487347e+00,-1.6255051798e+00,-1.5547270019e+00,-1.6508993411e+00,-1.5458363152e+00,-1.4346253489e+00,-1.3088737498e+00
1220,12.2000,-1.7405309007e+00,-1.6828153545e+00,-1.6212992102e+00,-1.5510160280e+00,-1.6466786596e+00,-1.5420392895e+00,-1.4312537640e+00,-1.3059583267e+00
1221,12.2100,-1.7360722585e+00,-1.6787762712e+00,-1.6177112801e+00,-1.5479496106e+00,-1.6430750270e+00,-1.5388826893e+00,-1.4285461645e+00,-1.3037318755e+00
1222,12.2200,-1.7321448405e+00,-1.6752978625e+00,-1.6147140955e+00,-1.5455065737e+00,-1.6400561464e+00,-1.5363485390e+00,-1.4264984928e+00,-1.3022045910e+00
1223,12.2300,-1.7281617697e+00,-1.6717608469e+00,-1.6116555714e+00,-1.5429996150e+00,-1.6369786771e+00,-1.5337485325e+00,-1.4243777943e+00,-1.3005968783e+00
1224,12.2400,-1.7234439577e+00,-1.6674538607e+00,-1.6077903967e+00,-1.5396450362e+00,-1.6330954619e+00,-1.5303084628e+00,-1.4213847915e+00,-1.2980844708e+00
1225,12.2500,-1.7175714354e+00,-1.6619450661e+00,-1.6026747856e+00,-1.5349863137e+00,-1.6279628069e+00,-1.5255740730e+00,-1.4170550121e+00,-1.2941924892e+00
1226,12.2600,-1.7117109829e+00,-1.6564517052e+00,-1.5975780893e+00,-1.5303503403e+00,-1.6228490105e+00,-1.5208616752e+00,-1.4127499456e+00,-1.2903276166e+00
1227,12.2700,-1.7060819888e+00,-1.6511932225e+00,-1.5927200944e+00,-1.5259576740e+00,-1.6179765189e+00,-1.5163893684e+00,-1.4086835451e+00,-1.2866997999e+00
1228,12.2800,-1.7004998471e+00,-1.6459823637e+00,-1.5879107634e+00,-1.5216151344e+00,-1.6131543099e+00,-1.5119654330e+00,-1.4046634640e+00,-1.2831160337e+00
1229,12.2900,-1.6939823559e+00,-1.6398051456e+00,-1.5820983493e+00,-1.5162228830e+00,-1.6073091368e+00,-1.5065183151e+00,-1.3996173489e+00,-1.2784992886e+00
1230,12.3000,-1.6878919106e+00,-1.6340681670e+00,-1.5767408556e+00,-1.5113031768e+00,-1.6019227416e+00,-1.5015367925e+00,-1.3950436144e+00,-1.2743623907e+00
1231,12.3100,-1.6825605046e+00,-1.6291279291e+00,-1.5722204338e+00,-1.5072671186e+00,-1.5973741649e+00,-1.4974287041e+00,-1.3913778283e+00,-1.2711696725e+00
1232,12.3200,-1.6769605874e+00,-1.6239004063e+00,-1.5673941173e+00,-1.5029057815e+00,-1.5925257600e+00,-1.4929937135e+00,-1.3873590082e+00,-1.2675978024e+00
1233,12.3300,-1.6712940750e+00,-1.6186001473e+00,-1.5624894672e+00,-1.4984609361e+00,-1.5876033042e+00,-1.4884723956e+00,-1.3832420351e+00,-1.2639160044e+00
1234,12.3400,-1.6652584230e+00,-1.6129097738e+00,-1.5571745608e+00,-1.4935857068e+00,-1.5822791916e+00,-1.4835169398e+00,-1.3786598730e+00,-1.2597383432e+00
1235,12.3500,-1.6588318418e+00,-1.6068087686e+00,-1.5514306542e+00,-1.4882640244e+00,-1.5765353730e+00,-1.4781099272e+00,-1.3735955317e+00,-1.2550483571e+00
1236,12.3600,-1.6542639626e+00,-1.6026499124e+00,-1.5477173101e+00,-1.4850736498e+00,-1.5728203636e+00,-1.4748155534e+00,-1.3707260531e+00,-1.2526398020e+00
