method,O,L,extra,iter,min_time_s
BASIC,0,0,-,6,0.012
BASIC,0,1,-,6,0.013
BASIC,1,0,-,8,0.016
BASIC,1,1,-,7,0.016
BASIC,2,0,-,9,0.018
BASIC,2,1,-,8,0.020
sASM,0,0,-,6,0.012
sASM,0,1,-,6,0.013
sASM,1,0,-,4,0.009
sASM,1,1,-,4,0.010
sASM,2,0,-,4,0.009
sASM,2,1,-,4,0.011
sASM+Cheby,1,0,d2,4,0.014
sASM+Cheby,1,1,d2,4,0.017
sASM+Cheby,2,0,d2,4,0.014
sASM+Cheby,2,1,d2,4,0.017
RAS+GMRES,1,0,r30,3,0.005
RAS+GMRES,1,1,r30,3,0.007
RAS+GMRES,2,0,r30,3,0.005
RAS+GMRES,2,1,r30,2,0.005
