dim,M,S,overlap,local,scaling,coef,contrast,bc,k,sigma,N,n_sub,Nhat,iter,cg_info,lam_min,lam_max,kappa,omega,axis,axis_label,order
2,25,4,1,ic0,sasm,const,1.0,neumann,1,10.0,625,16,4,29,0,0.02394542605098745,1.2741654404850804,53.211224463994746,1.3461457690633163,neu_s10,"pureNeu sig=10
(~Sys1)",3
2,25,4,2,ic0,sasm,const,1.0,neumann,1,10.0,625,16,4,29,0,0.024648116459262966,1.2779871901203348,51.84928399021973,1.3462064812191268,neu_s10,"pureNeu sig=10
(~Sys1)",3
2,25,4,3,ic0,sasm,const,1.0,neumann,1,10.0,625,16,4,30,0,0.024857687629576998,1.3304939965432416,53.52444750171167,1.3462251295027607,neu_s10,"pureNeu sig=10
(~Sys1)",3
2,25,4,0,ic0,basic,const,1.0,neumann,1,1.0,625,16,1,45,0,0.0019331502879000421,1.6621938513890882,859.8368485849641,1.3551260253029347,neu_s1,pureNeu sig=1,4
2,25,4,1,ic0,basic,const,1.0,neumann,1,1.0,625,16,4,51,0,0.003232719988912662,4.300727626536591,1330.3743105765116,1.3553613716586936,neu_s1,pureNeu sig=1,4
2,25,4,2,ic0,basic,const,1.0,neumann,1,1.0,625,16,4,52,0,0.004393362567222942,4.541377713677637,1033.690628576611,1.355429302257646,neu_s1,pureNeu sig=1,4
2,25,4,3,ic0,basic,const,1.0,neumann,1,1.0,625,16,4,48,0,0.0064403046450618945,5.331691623391431,827.863263809967,1.3554506658154293,neu_s1,pureNeu sig=1,4
2,25,4,0,ic0,sasm,const,1.0,neumann,1,1.0,625,16,1,45,0,0.0019331502879000421,1.6621938513890882,859.8368485849641,1.3551260253029347,neu_s1,pureNeu sig=1,4
2,25,4,1,ic0,sasm,const,1.0,neumann,1,1.0,625,16,4,35,0,0.0024520581989473725,1.2777162192709612,521.0790754556574,1.3553613716586936,neu_s1,pureNeu sig=1,4
2,25,4,2,ic0,sasm,const,1.0,neumann,1,1.0,625,16,4,35,0,0.0025236175796686244,1.2819592588538342,507.9847553693805,1.355429302257646,neu_s1,pureNeu sig=1,4
2,25,4,3,ic0,sasm,const,1.0,neumann,1,1.0,625,16,4,36,0,0.0025444755483544426,1.3329264986082998,523.8511721876546,1.3554506658154293,neu_s1,pureNeu sig=1,4
2,25,4,0,ic0,basic,const,1.0,neumann,1,0.1,625,16,1,48,0,0.0001938581014625906,1.6626294774923005,8576.528218054087,1.3560717428868947,neu_s.1,"pureNeu sig=0.1
(->Sys2)",5
2,25,4,1,ic0,basic,const,1.0,neumann,1,0.1,625,16,4,54,0,0.00032397996947735805,4.301020359842053,13275.574927611808,1.3563092819570668,neu_s.1,"pureNeu sig=0.1
(->Sys2)",5
2,25,4,2,ic0,basic,const,1.0,neumann,1,0.1,625,16,4,56,0,0.0004405459380699441,4.541967494314877,10309.861246737368,1.356378002475091,neu_s.1,"pureNeu sig=0.1
(->Sys2)",5
2,25,4,3,ic0,basic,const,1.0,neumann,1,0.1,625,16,4,53,0,0.0006468825440740258,5.332673951812284,8243.651031650099,1.3563996655700052,neu_s.1,"pureNeu sig=0.1
(->Sys2)",5
2,25,4,0,ic0,sasm,const,1.0,neumann,1,0.1,625,16,1,48,0,0.0001938581014625906,1.6626294774923005,8576.528218054087,1.3560717428868947,neu_s.1,"pureNeu sig=0.1
(->Sys2)",5
2,25,4,1,ic0,sasm,const,1.0,neumann,1,0.1,625,16,4,38,0,0.0002458024146902383,1.2780774924788763,5199.6132507059265,1.3563092819570668,neu_s.1,"pureNeu sig=0.1
(->Sys2)",5
2,25,4,2,ic0,sasm,const,1.0,neumann,1,0.1,625,16,4,37,0,0.0002529704946034917,1.2823654320246722,5069.229255509278,1.356378002475091,neu_s.1,"pureNeu sig=0.1
(->Sys2)",5
2,25,4,3,ic0,sasm,const,1.0,neumann,1,0.1,625,16,4,38,0,0.00025505374908815846,1.3331720974935584,5227.02411652358,1.3563996655700052,neu_s.1,"pureNeu sig=0.1
(->Sys2)",5
3,13,4,0,ic0,basic,const,1.0,full,1,0.0,2197,64,1,21,0,0.07905068260504922,1.6868510048891856,21.3388543817766,1.0625083618838425,full,full-Dir,0
3,13,4,1,ic0,basic,const,1.0,full,1,0.0,2197,64,8,26,0,0.3179442324350249,8.31347318930615,26.147582944455806,1.0880366597142563,full,full-Dir,0
3,13,4,2,ic0,basic,const,1.0,full,1,0.0,2197,64,27,29,0,0.9861870529158843,27.130545190241666,27.510546919090142,1.0981799829568109,full,full-Dir,0
3,13,4,3,ic0,basic,const,1.0,full,1,0.0,2197,64,27,20,0,1.0,32.481156075305506,32.481156075305506,1.1030307878039176,full,full-Dir,0
3,13,4,0,ic0,sasm,const,1.0,full,1,0.0,2197,64,1,21,0,0.07905068260504922,1.6868510048891856,21.3388543817766,1.0625083618838425,full,full-Dir,0
3,13,4,1,ic0,sasm,const,1.0,full,1,0.0,2197,64,8,15,0,0.1119723012300119,1.2083700823255523,10.791687489241967,1.0880366597142563,full,full-Dir,0
3,13,4,2,ic0,sasm,const,1.0,full,1,0.0,2197,64,27,14,0,0.12856911996391984,1.1663118508174566,9.071477281206848,1.0981799829568109,full,full-Dir,0
3,13,4,3,ic0,sasm,const,1.0,full,1,0.0,2197,64,27,14,0,0.13713163998019823,1.2034038938383032,8.775537826369424,1.1030307878039176,full,full-Dir,0
3,13,4,0,ic0,basic,const,1.0,kfaces,3,0.0,2197,64,1,31,0,0.03925111590714625,1.6880061357429321,43.005303078163074,1.119185144213897,kfaces,k=d Dir faces,1
3,13,4,1,ic0,basic,const,1.0,kfaces,3,0.0,2197,64,8,41,0,0.12501717575706062,8.313677544488021,66.50028281428753,1.1388347507820602,kfaces,k=d Dir faces,1
