dim,S,nx,coef,rho,scheme,exact,iccL,overlap,N,iter,reason,lam_min,lam_max,kappa,Nhat,omega
3,4,25,const,1.0,0,0,0,0,15625,80,2,0.0027308,1.638,599.83,1,1.1413
3,4,25,const,1.0,0,0,0,1,15625,96,2,0.004702,4.9159,1045.5,4,1.1415
3,4,25,const,1.0,0,0,0,2,15625,106,2,0.0068973,7.399,1072.7,7,1.1414
3,4,25,const,1.0,0,0,0,3,15625,98,2,0.01034,8.393,811.67,8,1.1415
3,4,25,const,1.0,0,0,0,4,15625,90,2,0.014039,8.9232,635.58,8,1.1416
3,4,25,const,1.0,3,0,0,0,15625,80,2,0.0027308,1.638,599.83,1,1.1413
3,4,25,const,1.0,3,0,0,1,15625,64,2,0.0031913,1.2341,386.7,4,1.1415
3,4,25,const,1.0,3,0,0,2,15625,62,2,0.0032567,1.2004,368.6,7,1.1414
3,4,25,const,1.0,3,0,0,3,15625,63,2,0.0032788,1.2313,375.53,8,1.1415
3,4,25,const,1.0,3,0,0,4,15625,62,2,0.0033316,1.1974,359.39,8,1.1416
3,4,25,smooth,1.0,0,0,0,0,15625,82,2,0.0027034,1.6403,606.76,1,1.1417
3,4,25,smooth,1.0,0,0,0,1,15625,104,2,0.0046557,4.9212,1057.0,4,1.1417
3,4,25,smooth,1.0,0,0,0,2,15625,111,2,0.0068301,7.403,1083.9,7,1.1419
3,4,25,smooth,1.0,0,0,0,3,15625,105,2,0.010241,8.3975,820.02,8,1.1418
3,4,25,smooth,1.0,0,0,0,4,15625,94,2,0.013905,8.9258,641.91,8,1.1419
3,4,25,smooth,1.0,3,0,0,0,15625,82,2,0.0027034,1.6403,606.76,1,1.1417
3,4,25,smooth,1.0,3,0,0,1,15625,66,2,0.0031596,1.2357,391.08,4,1.1417
3,4,25,smooth,1.0,3,0,0,2,15625,64,2,0.0032244,1.2012,372.53,7,1.1419
3,4,25,smooth,1.0,3,0,0,3,15625,65,2,0.0032463,1.2322,379.57,8,1.1418
3,4,25,smooth,1.0,3,0,0,4,15625,64,2,0.0032987,1.197,362.86,8,1.1419
3,4,25,layers,10000.0,0,0,0,0,15625,105,2,8.6455e-07,1.549,1791700.0,1,1.1414
3,4,25,layers,10000.0,0,0,0,1,15625,153,2,1.3457e-06,4.793,3561600.0,4,1.1418
3,4,25,layers,10000.0,0,0,0,2,15625,165,2,1.9513e-06,7.3638,3773800.0,7,1.1418
3,4,25,layers,10000.0,0,0,0,3,15625,150,2,2.9125e-06,8.4593,2904500.0,8,1.1419
3,4,25,layers,10000.0,0,0,0,4,15625,134,2,3.9637e-06,8.9248,2251600.0,8,1.1435
3,4,25,layers,10000.0,3,0,0,0,15625,105,2,8.6455e-07,1.549,1791700.0,1,1.1414
3,4,25,layers,10000.0,3,0,0,1,15625,94,2,9.4217e-07,1.2307,1306200.0,4,1.1418
3,4,25,layers,10000.0,3,0,0,2,15625,94,2,9.4786e-07,1.2069,1273300.0,7,1.1418
3,4,25,layers,10000.0,3,0,0,3,15625,95,2,9.5218e-07,1.2327,1294600.0,8,1.1419
3,4,25,layers,10000.0,3,0,0,4,15625,93,2,9.643e-07,1.1987,1243100.0,8,1.1435
3,4,25,layers_unaligned,10000.0,0,0,0,0,15625,116,2,1.0078e-06,1.641,1628200.0,1,1.1452
3,4,25,layers_unaligned,10000.0,0,0,0,1,15625,150,2,1.6552e-06,4.9162,2970100.0,4,1.1266
3,4,25,layers_unaligned,10000.0,0,0,0,2,15625,159,2,2.3332e-06,7.3992,3171300.0,7,1.131
3,4,25,layers_unaligned,10000.0,0,0,0,3,15625,148,2,3.3804e-06,8.3937,2483000.0,8,1.1336
3,4,25,layers_unaligned,10000.0,0,0,0,4,15625,138,2,4.4516e-06,8.9242,2004700.0,8,1.1425
3,4,25,layers_unaligned,10000.0,3,0,0,0,15625,116,2,1.0078e-06,1.641,1628200.0,1,1.1452
3,4,25,layers_unaligned,10000.0,3,0,0,1,15625,92,2,1.1736e-06,1.2344,1051800.0,4,1.1266
3,4,25,layers_unaligned,10000.0,3,0,0,2,15625,92,2,1.1974e-06,1.2286,1026100.0,7,1.131
