dim,m,N,coef,contrast,stencil_nbrs,kappa_A,omega,lam_min_prec,kappa_prec
1,512,512,const,1.0,2,1044474.149712548,1.0000000000032396,0.999999999996747,1.0000000000064926
2,23,529,const,1.0,4,3853.563486305004,1.2324302840539287,0.00889842080074294,138.49988797462035
3,8,512,const,1.0,6,564.6078432211866,1.1540198638269652,0.04570042824438847,25.251839165613653
