t,one_cold,two_cold,two_warm
0,70,34,34
1,69,33,32
2,70,34,32
3,70,34,32
4,70,34,33
5,69,34,33
6,69,34,31
7,70,34,33
8,70,34,33
9,70,34,32
10,67,33,33
11,70,34,33
